id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
2894762370,1371,jxnl,4852235,closed,2025-03-04T16:03:56Z,2025-03-18T06:57:39Z,,https://api.github.com/repos/567-labs/instructor,653589102.0,https://github.com/567-labs/instructor/pull/1371,Claude_Code,3084c405bb3ac9062bf7f8a61f4dfe665ca1daab,c0b79f7c6b5e42ba07966244bcfbd9856bca5c02,12,1,0,2,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,567-labs/instructor
3244853040,1729,jxnl,4852235,closed,2025-07-19T04:04:26Z,2025-07-19T04:07:45Z,2025-07-19T04:07:45Z,https://api.github.com/repos/567-labs/instructor,653589102.0,https://github.com/567-labs/instructor/pull/1729,Claude_Code,e4262e7956528ace495b3b4f293403d2f90e93c6,4561d0c43280cb44b672d5e08b65d25758d98516,189,10,2,39,2,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,567-labs/instructor
2915198291,1399,jxnl,4852235,closed,2025-03-12T21:23:46Z,2025-03-12T21:38:58Z,2025-03-12T21:38:58Z,https://api.github.com/repos/567-labs/instructor,653589102.0,https://github.com/567-labs/instructor/pull/1399,Claude_Code,6e58dfd2e87040e00b8fd9931740d303571a9c3e,fde4d9bd58a3476e641947804a29ac86d466154e,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,567-labs/instructor
2915204489,1401,jxnl,4852235,closed,2025-03-12T21:26:36Z,2025-03-12T21:33:46Z,,https://api.github.com/repos/567-labs/instructor,653589102.0,https://github.com/567-labs/instructor/pull/1401,Claude_Code,909c336b0e6a7d93852996f21b0f7111806a9e6d,edc1b8c4b86598600cbbc8bef2fcca6bc31d1107,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,567-labs/instructor
3240533897,1717,johnwlockwood,272981,closed,2025-07-17T18:38:07Z,2025-07-17T22:34:20Z,2025-07-17T22:34:20Z,https://api.github.com/repos/567-labs/instructor,653589102.0,https://github.com/567-labs/instructor/pull/1717,Claude_Code,a5693dd0e39148be9bf79c9cfdaf97cdab2a5620,64b26da4ae1acd6be60c8957d7d18262eed2534d,172,6,0,8,0,0,0,0,10,0,0,0,assert_used_LOW,5,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,567-labs/instructor
3226745710,1706,jxnl,4852235,open,2025-07-13T19:03:28Z,,,https://api.github.com/repos/567-labs/instructor,653589102.0,https://github.com/567-labs/instructor/pull/1706,OpenAI_Codex,8f726d9a52e78e74f541b52c60eebb04f90187e7,7dd7ef2449a0c2756c7b6bc2c5886d45ae35e81f,34,3,0,4,0,0,0,0,8,0,0,0,assert_used_LOW,4,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,567-labs/instructor
3244786458,1727,jxnl,4852235,closed,2025-07-19T02:33:17Z,2025-07-19T02:35:56Z,,https://api.github.com/repos/567-labs/instructor,653589102.0,https://github.com/567-labs/instructor/pull/1727,OpenAI_Codex,5767908cc972534acefd46eafc4d3443409820d2,d3e354263986566400ef9541bb720b90db7f8cdf,327,12,0,1,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,567-labs/instructor
3210213419,1667,jxnl,4852235,closed,2025-07-07T20:46:15Z,2025-07-07T20:50:52Z,2025-07-07T20:50:52Z,https://api.github.com/repos/567-labs/instructor,653589102.0,https://github.com/567-labs/instructor/pull/1667,OpenAI_Codex,bccbd2a72e1a3dfabf7fb90fb8ad880648d05bc1,4bcf0a777046062ced97aa654a5cafa25f8d7c02,21,-1,0,1,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,567-labs/instructor
3210043529,1662,jxnl,4852235,closed,2025-07-07T19:29:40Z,2025-07-07T19:29:47Z,2025-07-07T19:29:47Z,https://api.github.com/repos/567-labs/instructor,653589102.0,https://github.com/567-labs/instructor/pull/1662,OpenAI_Codex,793fd6bbb5cad3c61ea810ebd958edd6d8ff0466,e4037187755363f1e1ee81dc7904c6405025a599,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,567-labs/instructor
3210282420,1669,jxnl,4852235,closed,2025-07-07T21:21:04Z,2025-07-08T00:10:48Z,,https://api.github.com/repos/567-labs/instructor,653589102.0,https://github.com/567-labs/instructor/pull/1669,OpenAI_Codex,1d948747c320f6006f78839645bd48da3ba9e984,27e904ad5b0b15c645a5375a67fa929423fa4e83,104,35,0,11,0,0,0,0,0,0,1,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_possibly-used-before-assignment,2,N/A,0,N/A,0,error_function-redefined,1,N/A,0,N/A,0,Python,567-labs/instructor
