id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3089504026,10,Copilot,198982749,closed,2025-05-25T18:58:40Z,2025-05-25T20:20:35Z,2025-05-25T20:20:35Z,https://api.github.com/repos/Alanwe/testbuild,989579305.0,https://github.com/Alanwe/testbuild/pull/10,Copilot,65a229c510f2486eb104642140aa91e813e67e6c,25f6ab4b38eb9a588463f82c20af0eddb6a8d296,3018,359,12,791,23,1,0,2,8,0,16,0,try_except_continue_LOW,2,blacklist_LOW,1,subprocess_without_shell_equals_true_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_function-redefined,13,error_syntax-error,1,error_possibly-used-before-assignment,1,N/A,0,N/A,0,N/A,0,Python,Alanwe/testbuild
3089557237,12,Copilot,198982749,closed,2025-05-25T20:34:04Z,2025-05-25T20:44:22Z,2025-05-25T20:44:22Z,https://api.github.com/repos/Alanwe/testbuild,989579305.0,https://github.com/Alanwe/testbuild/pull/12,Copilot,2f9e75c940b66e9a29ddfeef9104b185c30e99a3,422b8db6c1c5c3a10a605e16df9144c50e3ab4f7,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Alanwe/testbuild
3089564451,14,Copilot,198982749,closed,2025-05-25T20:48:45Z,2025-05-25T21:11:37Z,2025-05-25T21:11:36Z,https://api.github.com/repos/Alanwe/testbuild,989579305.0,https://github.com/Alanwe/testbuild/pull/14,Copilot,d203362880b36a14568cb91bac5ede3727754eab,7fb08c2013840d257e78578af246ce1a777bcbd9,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Alanwe/testbuild
3089579377,16,Copilot,198982749,closed,2025-05-25T21:16:10Z,2025-05-25T21:27:29Z,2025-05-25T21:27:29Z,https://api.github.com/repos/Alanwe/testbuild,989579305.0,https://github.com/Alanwe/testbuild/pull/16,Copilot,02739e940e78e0740f6bc28c562677983fa6526d,fcb125c78a2c939e606294ce876cc3f9f1664c5d,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Alanwe/testbuild
3089589017,18,Copilot,198982749,closed,2025-05-25T21:34:45Z,2025-05-25T21:48:29Z,2025-05-25T21:48:29Z,https://api.github.com/repos/Alanwe/testbuild,989579305.0,https://github.com/Alanwe/testbuild/pull/18,Copilot,4b65fe06a9e9ed4ba5d452d174ed2a0006e79383,3029d83e9c6081c96912111ec91d105598aa9764,12,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Alanwe/testbuild
3089596936,20,Copilot,198982749,closed,2025-05-25T21:50:15Z,2025-05-25T22:03:08Z,2025-05-25T22:03:08Z,https://api.github.com/repos/Alanwe/testbuild,989579305.0,https://github.com/Alanwe/testbuild/pull/20,Copilot,2c51a44daf4ac10f6a660e37fed81acb68ec918b,06665f5748a8142b08a9c28cfcebe5ebcd93a286,-1440,-170,-5,-577,-16,0,0,-2,-4,0,-14,0,N/A,0,N/A,0,N/A,0,try_except_continue_LOW,2,hardcoded_sql_expressions_MEDIUM,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_function-redefined,13,error_not-an-iterable,1,N/A,0,Python,Alanwe/testbuild
3089598851,22,Copilot,198982749,closed,2025-05-25T21:54:12Z,2025-05-25T22:03:41Z,2025-05-25T22:03:41Z,https://api.github.com/repos/Alanwe/testbuild,989579305.0,https://github.com/Alanwe/testbuild/pull/22,Copilot,2c51a44daf4ac10f6a660e37fed81acb68ec918b,67700e384d9ef1d285ac50d115b050635d36dcb2,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Alanwe/testbuild
3089607854,24,Copilot,198982749,closed,2025-05-25T22:11:00Z,2025-05-25T22:22:13Z,2025-05-25T22:22:13Z,https://api.github.com/repos/Alanwe/testbuild,989579305.0,https://github.com/Alanwe/testbuild/pull/24,Copilot,d3832128147bf3aaefef363074f76c46e791e50c,5e14c9a3f3f98f39914baba028fd389cd179b5af,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Alanwe/testbuild
3089615452,26,Copilot,198982749,closed,2025-05-25T22:25:21Z,2025-05-25T22:31:19Z,2025-05-25T22:31:19Z,https://api.github.com/repos/Alanwe/testbuild,989579305.0,https://github.com/Alanwe/testbuild/pull/26,Copilot,247a7321012993714fdfa8d18986d2c6015dff31,c2786f22e4add21003418c173575cedd0ea9937b,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Alanwe/testbuild
3089625063,28,Copilot,198982749,closed,2025-05-25T22:45:16Z,2025-05-25T23:03:31Z,2025-05-25T23:03:30Z,https://api.github.com/repos/Alanwe/testbuild,989579305.0,https://github.com/Alanwe/testbuild/pull/28,Copilot,37899787e2c94c63e01b35908085d3455d6a5bd2,badc690b220d9daddee7e4f950017c881ef0a89b,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Alanwe/testbuild
