id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3234053712,219,Copilot,198982749,closed,2025-07-16T00:30:37Z,2025-07-16T00:49:14Z,2025-07-16T00:49:13Z,https://api.github.com/repos/Aries-Serpent/gh_COPILOT,1015108803.0,https://github.com/Aries-Serpent/gh_COPILOT/pull/219,Copilot,00e94da04ed191570f16c8bb6a0e7d965c53a9f9,696ffe7e426c7f961e937dae5bca80c8fac9109e,1900,226,7,296,12,0,4,18,8,0,0,0,hardcoded_sql_expressions_MEDIUM,9,try_except_pass_LOW,4,hashlib_HIGH,2,N/A,0,N/A,0,N/A,0,hashlib_HIGH,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Aries-Serpent/gh_COPILOT
3230612488,203,Copilot,198982749,closed,2025-07-15T03:14:50Z,2025-07-15T03:36:18Z,,https://api.github.com/repos/Aries-Serpent/gh_COPILOT,1015108803.0,https://github.com/Aries-Serpent/gh_COPILOT/pull/203,Copilot,072d1e7e5b3acefe1ee04e7cc9faf7800525ef01,2d3c3fef22325ef76027d62c0f306141875cd013,-2635,2023,16,2152,117,-54,2,26,72,0,-49,0,assert_used_LOW,28,blacklist_LOW,17,hardcoded_sql_expressions_MEDIUM,12,start_process_with_partial_path_LOW,14,N/A,0,N/A,0,subprocess_popen_with_shell_equals_true_HIGH,1,N/A,0,error_logging-unsupported-format,2,error_no-value-for-parameter,2,error_used-before-assignment,1,error_syntax-error,55,N/A,0,N/A,0,Python,Aries-Serpent/gh_COPILOT
3230620603,204,Copilot,198982749,closed,2025-07-15T03:20:31Z,2025-07-15T03:36:18Z,,https://api.github.com/repos/Aries-Serpent/gh_COPILOT,1015108803.0,https://github.com/Aries-Serpent/gh_COPILOT/pull/204,Copilot,072d1e7e5b3acefe1ee04e7cc9faf7800525ef01,68b353d0b14fcca6df156b90148a56cfe5764110,-8,25,-2,-32,-1,0,0,0,-130,0,0,0,N/A,0,N/A,0,N/A,0,start_process_with_partial_path_LOW,31,subprocess_without_shell_equals_true_LOW,31,blacklist_LOW,3,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Aries-Serpent/gh_COPILOT
3234299776,220,Copilot,198982749,closed,2025-07-16T03:15:03Z,2025-07-16T03:57:53Z,2025-07-16T03:57:53Z,https://api.github.com/repos/Aries-Serpent/gh_COPILOT,1015108803.0,https://github.com/Aries-Serpent/gh_COPILOT/pull/220,Copilot,4852f81b15b67263d69fb8592df419f0d490a0f2,7c88d0ca536b7cf6dd9450105ad091d3b7da9654,4254,529,1,366,11,0,0,10,402,0,0,0,assert_used_LOW,201,hardcoded_sql_expressions_MEDIUM,5,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Aries-Serpent/gh_COPILOT
3226063664,197,Copilot,198982749,closed,2025-07-13T03:14:37Z,2025-07-13T03:25:26Z,2025-07-13T03:25:26Z,https://api.github.com/repos/Aries-Serpent/gh_COPILOT,1015108803.0,https://github.com/Aries-Serpent/gh_COPILOT/pull/197,Copilot,348eb2f868eeaae1a39939d5b7bb44d6fe20de8c,ff5685395c31df254b42f4e008bce3e174fafb18,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Aries-Serpent/gh_COPILOT
3240569906,221,mbaetiong,91555439,closed,2025-07-17T18:52:53Z,2025-07-17T19:22:28Z,2025-07-17T19:22:28Z,https://api.github.com/repos/Aries-Serpent/gh_COPILOT,1015108803.0,https://github.com/Aries-Serpent/gh_COPILOT/pull/221,OpenAI_Codex,0bba0f12cb14e8c781a9ced520f097c8ab25ab01,4f3db05cb74dbc636507f8c1fab981a40d1dfe9a,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Aries-Serpent/gh_COPILOT
3266407198,763,mbaetiong,91555439,closed,2025-07-27T01:16:41Z,2025-07-27T01:17:10Z,2025-07-27T01:17:10Z,https://api.github.com/repos/Aries-Serpent/gh_COPILOT,1015108803.0,https://github.com/Aries-Serpent/gh_COPILOT/pull/763,OpenAI_Codex,95ee71d1c6ce381f0f0b3affafaa8cee3e4f764a,581104d25e21eedd7541a74a8eacff8d2cc66df7,68,2,0,0,0,0,0,0,2,0,1,0,assert_used_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_undefined-all-variable,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Aries-Serpent/gh_COPILOT
3266408968,764,mbaetiong,91555439,closed,2025-07-27T01:17:40Z,2025-07-27T01:18:39Z,2025-07-27T01:18:39Z,https://api.github.com/repos/Aries-Serpent/gh_COPILOT,1015108803.0,https://github.com/Aries-Serpent/gh_COPILOT/pull/764,OpenAI_Codex,5db0b901fd63054c67ca3df43d2cd11d98dd4c9a,b3edd9939b99995e691a1c223581f4dbd0415330,110,7,0,1,0,0,0,0,4,0,0,0,assert_used_LOW,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Aries-Serpent/gh_COPILOT
3266411479,765,mbaetiong,91555439,closed,2025-07-27T01:19:05Z,2025-07-27T01:21:45Z,2025-07-27T01:21:45Z,https://api.github.com/repos/Aries-Serpent/gh_COPILOT,1015108803.0,https://github.com/Aries-Serpent/gh_COPILOT/pull/765,OpenAI_Codex,7a5d9df7a9ba94367bf62774e084e5e4dcc4fa83,2ad0e759dca741cee7ee940dbd3e704f55a691e2,17,-2,0,2,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Aries-Serpent/gh_COPILOT
3266425878,771,mbaetiong,91555439,closed,2025-07-27T01:33:22Z,2025-07-27T01:33:40Z,2025-07-27T01:33:40Z,https://api.github.com/repos/Aries-Serpent/gh_COPILOT,1015108803.0,https://github.com/Aries-Serpent/gh_COPILOT/pull/771,OpenAI_Codex,f040e1cce274090ac2072b4d8d884843c13c8eef,f1b77c36e2cc4ee3ecfd67139c5629e60edc7de0,-921,-80,0,-19,0,0,0,2,-42,0,-53,0,blacklist_LOW,2,hardcoded_tmp_directory_MEDIUM,1,N/A,0,assert_used_LOW,23,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-value-for-parameter,45,error_function-redefined,6,error_undefined-all-variable,1,Python,Aries-Serpent/gh_COPILOT
