id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3183095557,13,mkrueger12,48253889,closed,2025-06-27T14:46:31Z,2025-06-27T14:49:33Z,,https://api.github.com/repos/Backland-Labs/quorum-ai,988646117.0,https://github.com/Backland-Labs/quorum-ai/pull/13,Claude_Code,8c3c0096f2bdef7c70a3b207ea7f8529834de5db,cc791237c3548528cab8ae020bda377229c01d82,852,82,1,255,6,0,0,0,48,0,0,0,assert_used_LOW,24,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Backland-Labs/quorum-ai
3183126293,15,mkrueger12,48253889,closed,2025-06-27T14:56:14Z,2025-06-28T01:45:36Z,2025-06-28T01:45:36Z,https://api.github.com/repos/Backland-Labs/quorum-ai,988646117.0,https://github.com/Backland-Labs/quorum-ai/pull/15,Claude_Code,8c3c0096f2bdef7c70a3b207ea7f8529834de5db,cc791237c3548528cab8ae020bda377229c01d82,852,82,1,255,6,0,0,0,48,0,0,0,assert_used_LOW,24,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Backland-Labs/quorum-ai
3186903864,23,mkrueger12,48253889,closed,2025-06-30T02:23:00Z,2025-06-30T02:24:40Z,2025-06-30T02:24:40Z,https://api.github.com/repos/Backland-Labs/quorum-ai,988646117.0,https://github.com/Backland-Labs/quorum-ai/pull/23,Claude_Code,4adaa1fd86064eabf129fb4ac0c1868da8150a28,78bcfd5db07b53ae731bcb687e9e2e3ed95bdd0e,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Backland-Labs/quorum-ai
3275517547,143,mkrueger12,48253889,open,2025-07-30T03:00:49Z,,,https://api.github.com/repos/Backland-Labs/quorum-ai,988646117.0,https://github.com/Backland-Labs/quorum-ai/pull/143,Claude_Code,efffebce97cae8f3ddbc1f3e21c55badb4e4b646,6232606adb8903f0b7e3d5ee9314fbc16e39a149,2342,120,2,96,3,0,0,16,322,0,0,0,assert_used_LOW,161,hardcoded_tmp_directory_MEDIUM,8,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Backland-Labs/quorum-ai
3254527033,134,mkrueger12,48253889,closed,2025-07-23T01:30:51Z,2025-07-23T13:06:56Z,2025-07-23T13:06:56Z,https://api.github.com/repos/Backland-Labs/quorum-ai,988646117.0,https://github.com/Backland-Labs/quorum-ai/pull/134,Claude_Code,532457826fdc164a76a53452e7707309a98f7f93,83fc37dd7731d7cde826e75ddac920db593f595f,1962,100,1,56,2,0,0,0,184,0,0,0,assert_used_LOW,92,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Backland-Labs/quorum-ai
3267323401,136,mkrueger12,48253889,closed,2025-07-27T18:25:42Z,2025-07-27T18:45:46Z,2025-07-27T18:45:46Z,https://api.github.com/repos/Backland-Labs/quorum-ai,988646117.0,https://github.com/Backland-Labs/quorum-ai/pull/136,Claude_Code,d3ef58141a4a77d3f14a714d1f01e76a26b42da7,362f0386723667bd010555a7dbd189de6c8da7d0,311,31,0,20,0,0,0,0,78,0,0,0,assert_used_LOW,39,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Backland-Labs/quorum-ai
3186245451,17,mkrueger12,48253889,closed,2025-06-29T14:54:20Z,2025-06-29T15:58:41Z,,https://api.github.com/repos/Backland-Labs/quorum-ai,988646117.0,https://github.com/Backland-Labs/quorum-ai/pull/17,Claude_Code,e271100996cf9cde0c009c7a75aecb70900ec0c2,9c1cd05d911cae122b34e7ee58ef609dccc72cc3,70,-4,1,34,3,0,0,0,-48,0,0,0,N/A,0,N/A,0,N/A,0,assert_used_LOW,24,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Backland-Labs/quorum-ai
3168089694,5,mkrueger12,48253889,closed,2025-06-23T12:51:40Z,2025-06-23T13:16:12Z,2025-06-23T13:16:12Z,https://api.github.com/repos/Backland-Labs/quorum-ai,988646117.0,https://github.com/Backland-Labs/quorum-ai/pull/5,Cursor,efc2c06c3e180d002413e9144e7a63f3c09cab0e,9c59264c780f952d8855ba74cf86f2eee8b9eb6c,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Backland-Labs/quorum-ai
3161218794,1,mkrueger12,48253889,closed,2025-06-19T19:50:52Z,2025-06-19T19:54:13Z,2025-06-19T19:54:13Z,https://api.github.com/repos/Backland-Labs/quorum-ai,988646117.0,https://github.com/Backland-Labs/quorum-ai/pull/1,Cursor,671cc45f2316cb89a975173d06a1559bcbbb64d4,c31bf099d104cd0aac0b8bff331d7082750cb6ca,2803,182,0,50,1,0,0,2,416,0,0,0,assert_used_LOW,208,hardcoded_bind_all_interfaces_MEDIUM,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Backland-Labs/quorum-ai
3163120437,2,mkrueger12,48253889,closed,2025-06-20T12:14:04Z,2025-06-20T12:25:34Z,,https://api.github.com/repos/Backland-Labs/quorum-ai,988646117.0,https://github.com/Backland-Labs/quorum-ai/pull/2,Cursor,22662a37b62a383545defa777adeb4566822d573,4604a8bc2dfd8dc40a241e9f2f5ca0f57d3cccf0,97,6,0,8,0,0,0,0,0,0,1,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_undefined-all-variable,2,N/A,0,N/A,0,error_no-value-for-parameter,1,N/A,0,N/A,0,Python,Backland-Labs/quorum-ai
