id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
2876382016,8775,krrishdholakia,17561003,closed,2025-02-24T23:13:02Z,2025-02-25T02:55:48Z,2025-02-25T02:55:48Z,https://api.github.com/repos/BerriAI/litellm,671269505.0,https://github.com/BerriAI/litellm/pull/8775,Claude_Code,46cbaa8c0c610c553c239af88544bc493accd2eb,398086c65a17d6fc7e9eacf87f525ef748c60263,68,3,0,1,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,BerriAI/litellm
3276585540,13125,busla,3162968,open,2025-07-30T11:00:10Z,,,https://api.github.com/repos/BerriAI/litellm,671269505.0,https://github.com/BerriAI/litellm/pull/13125,Claude_Code,3ef9b2015a861855b387b0b065e15766abd08ebd,4f8583fb7cc4f8d24ae1a67c89000f4e5437a506,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,BerriAI/litellm
3164516369,11936,Copilot,198982749,closed,2025-06-20T23:01:39Z,2025-06-21T06:18:02Z,,https://api.github.com/repos/BerriAI/litellm,671269505.0,https://github.com/BerriAI/litellm/pull/11936,Copilot,931b2e487521ca930bec2987ee6661c1b5340be5,1bf3a95194c076711227169fa94ae01f67411c81,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,BerriAI/litellm
3164519226,11937,ervwalter,768790,closed,2025-06-20T23:04:45Z,2025-06-21T06:17:46Z,2025-06-21T06:17:46Z,https://api.github.com/repos/BerriAI/litellm,671269505.0,https://github.com/BerriAI/litellm/pull/11937,Copilot,931b2e487521ca930bec2987ee6661c1b5340be5,6c3b2285a53e47bae7d03619e02e29455ed3d18d,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,BerriAI/litellm
3122927885,11457,ishaan-jaff,29436595,closed,2025-06-05T22:48:29Z,2025-06-05T22:49:33Z,,https://api.github.com/repos/BerriAI/litellm,671269505.0,https://github.com/BerriAI/litellm/pull/11457,OpenAI_Codex,ab9d09a4646992302429f92a375cde63f983f09c,dc3861c7d0e6ce8a95535a4945653bbdf1fed4ad,-27,-2,0,1,0,0,0,0,-58,0,0,0,N/A,0,N/A,0,N/A,0,assert_used_LOW,29,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,BerriAI/litellm
3276001830,13122,pascalwhoop,2284951,open,2025-07-30T07:34:43Z,,,https://api.github.com/repos/BerriAI/litellm,671269505.0,https://github.com/BerriAI/litellm/pull/13122,OpenAI_Codex,97d89584c13711abd5506d93d53bce7030d0f0c0,496580e7acd8d575f2ccfffd7093c8109cf94e5d,-3461,-177,-2,-167,-6,0,0,0,-330,0,-2,0,N/A,0,N/A,0,N/A,0,assert_used_LOW,159,try_except_pass_LOW,2,start_process_with_partial_path_LOW,1,N/A,0,N/A,0,error_function-redefined,1,N/A,0,N/A,0,error_unexpected-keyword-arg,2,error_possibly-used-before-assignment,1,N/A,0,Python,BerriAI/litellm
3125891957,11499,ishaan-jaff,29436595,closed,2025-06-06T21:22:26Z,2025-06-06T21:22:47Z,2025-06-06T21:22:47Z,https://api.github.com/repos/BerriAI/litellm,671269505.0,https://github.com/BerriAI/litellm/pull/11499,OpenAI_Codex,e191e727462c08356e2f624170ca6c4bdb1f3fbe,aed3d444bd8dec0fea080ca44f288a7a957d05f2,-199,-8,0,-11,-1,0,0,0,-12,0,0,0,N/A,0,N/A,0,N/A,0,assert_used_LOW,6,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,BerriAI/litellm
3200909614,12304,ishaan-jaff,29436595,closed,2025-07-03T23:57:55Z,2025-07-04T00:01:51Z,2025-07-04T00:01:51Z,https://api.github.com/repos/BerriAI/litellm,671269505.0,https://github.com/BerriAI/litellm/pull/12304,OpenAI_Codex,005de79dd5d683de36220aa6818d7ed8711dc5f6,4b553564a1b5c279ee4ec41ff2f65814812cd38a,6,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,BerriAI/litellm
3200896426,12303,ishaan-jaff,29436595,closed,2025-07-03T23:44:28Z,2025-07-03T23:45:39Z,2025-07-03T23:45:39Z,https://api.github.com/repos/BerriAI/litellm,671269505.0,https://github.com/BerriAI/litellm/pull/12303,OpenAI_Codex,e7374e3909eb9fb451255f7c39b37ba70be634dd,8c007538c126c5735ce8335c74f1abcfedb9752e,0,0,0,0,0,0,0,0,0,0,-2,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_logging-too-many-args,2,N/A,0,N/A,0,Python,BerriAI/litellm
3126187486,11504,ishaan-jaff,29436595,closed,2025-06-07T00:42:52Z,2025-06-07T01:11:15Z,,https://api.github.com/repos/BerriAI/litellm,671269505.0,https://github.com/BerriAI/litellm/pull/11504,OpenAI_Codex,3b911ba1b2ffba8d410280e2f5e1f1d33d2cc131,213a5914da3ce9f686774b5cda423f01578b981a,-443,-36,-2,-47,-3,0,0,0,-8,0,0,0,N/A,0,N/A,0,N/A,0,assert_used_LOW,3,blacklist_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,BerriAI/litellm
3123070640,11463,ishaan-jaff,29436595,closed,2025-06-05T23:45:52Z,2025-06-05T23:46:04Z,,https://api.github.com/repos/BerriAI/litellm,671269505.0,https://github.com/BerriAI/litellm/pull/11463,OpenAI_Codex,d05eda0311121289231024b25b4ebff6d1b4d5f9,55cdc94e1537ec48cd26ae53b06ba144e1c59560,27,3,0,13,1,0,0,0,2,0,0,0,assert_used_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,BerriAI/litellm
3127601737,11523,ishaan-jaff,29436595,closed,2025-06-07T22:19:10Z,2025-06-07T22:24:14Z,2025-06-07T22:24:14Z,https://api.github.com/repos/BerriAI/litellm,671269505.0,https://github.com/BerriAI/litellm/pull/11523,Cursor,e3c66418b82dea7aaaf00e2ff1fd11cf16624b48,41321d6d0ce58eea6328d047eea26833b62aba9b,-124,-21,0,-23,-2,0,0,0,-2,0,-1,0,N/A,0,N/A,0,N/A,0,assert_used_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_possibly-used-before-assignment,1,N/A,0,N/A,0,Python,BerriAI/litellm
3131698049,11564,ishaan-jaff,29436595,closed,2025-06-09T23:05:02Z,2025-06-09T23:05:08Z,2025-06-09T23:05:08Z,https://api.github.com/repos/BerriAI/litellm,671269505.0,https://github.com/BerriAI/litellm/pull/11564,Cursor,4bbf9147d6ec7cc04ab293e2b4d15382435755ab,15819886097d51c8cd20d6b200d74bf4c7ba8d4f,352,26,0,12,0,0,0,0,36,0,0,0,assert_used_LOW,17,try_except_pass_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,BerriAI/litellm
3225638345,12551,ishaan-jaff,29436595,closed,2025-07-12T18:12:07Z,2025-07-14T21:30:39Z,2025-07-14T21:30:39Z,https://api.github.com/repos/BerriAI/litellm,671269505.0,https://github.com/BerriAI/litellm/pull/12551,Cursor,2b2ba8a2b1ac0201ab3caca98e95aef23ff2442f,12e8868663ae29947b4e8fe48a3cbedc22e60796,513,37,0,28,0,0,0,0,76,0,0,0,assert_used_LOW,38,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,BerriAI/litellm
3275293222,13110,ishaan-jaff,29436595,open,2025-07-30T00:07:45Z,,,https://api.github.com/repos/BerriAI/litellm,671269505.0,https://github.com/BerriAI/litellm/pull/13110,Cursor,33f65114b6056d3e43c32e0cc25ad04ec640455f,f08c41cd07db953fbb5e03d55112c5fd9ae7ef16,484,37,1,55,3,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,BerriAI/litellm
