id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3264016139,1688,jacklionheart,37011,closed,2025-07-25T18:15:36Z,2025-07-25T19:17:23Z,2025-07-25T19:17:23Z,https://api.github.com/repos/Metta-AI/metta,843988367.0,https://github.com/Metta-AI/metta/pull/1688,Claude_Code,d1d81defd9984722756a095cdad4cf179a67b6da,5dfcfaf35299ed1a1edca882f3fdbaa87d099bd0,106,16,0,54,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Metta-AI/metta
3275818877,1818,jacklionheart,37011,open,2025-07-30T06:22:47Z,,,https://api.github.com/repos/Metta-AI/metta,843988367.0,https://github.com/Metta-AI/metta/pull/1818,Claude_Code,5f8057c5362365af93d16666ff25c4d389d90171,ae575328922d4b773887a6f53ea6fc4f10e84bff,4538,459,2,686,27,0,0,0,244,0,3,0,assert_used_LOW,121,subprocess_without_shell_equals_true_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-self-argument,2,error_not-an-iterable,2,error_abstract-class-instantiated,1,error_access-member-before-definition,2,N/A,0,N/A,0,Python,Metta-AI/metta
3180657449,1198,dominik3141,27861733,closed,2025-06-26T22:38:20Z,2025-06-26T23:46:24Z,2025-06-26T23:46:24Z,https://api.github.com/repos/Metta-AI/metta,843988367.0,https://github.com/Metta-AI/metta/pull/1198,OpenAI_Codex,bb496c35ca043f43f2c2dcd0c2ad81e9d3702ed4,fd8b444ace9c9d5d7fa1b8086d2af8503c5a4376,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Metta-AI/metta
3254318657,1614,dominik3141,27861733,closed,2025-07-22T23:11:22Z,2025-07-24T02:19:04Z,2025-07-24T02:19:03Z,https://api.github.com/repos/Metta-AI/metta,843988367.0,https://github.com/Metta-AI/metta/pull/1614,OpenAI_Codex,a6b86e338a6c2d10110e22a7bbc68927693ce115,9594e1952a2e37135bee64690e68033706860a3e,-94,-11,-1,-26,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Metta-AI/metta
3173441784,1134,relh,3629411,closed,2025-06-24T22:04:02Z,2025-06-26T23:29:43Z,,https://api.github.com/repos/Metta-AI/metta,843988367.0,https://github.com/Metta-AI/metta/pull/1134,OpenAI_Codex,941308c60aa3afa6071525a1bda4ab5219087281,d1df9024f4303aeb37b0cc3e2404ce37c8dd7a4c,16,3,0,2,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Metta-AI/metta
3185601165,1235,daveey,452472,closed,2025-06-29T00:07:56Z,2025-06-29T00:29:08Z,,https://api.github.com/repos/Metta-AI/metta,843988367.0,https://github.com/Metta-AI/metta/pull/1235,OpenAI_Codex,1e9f49f8dba1df69e78e65b8158c01d814a967c5,055f42252b101b8fd5cc06ea3f4e961aaa8d281e,-20679,-2063,-8,-1729,-84,0,2,-24,-1962,0,-2,0,try_except_continue_LOW,8,start_process_with_a_shell_LOW,2,subprocess_popen_with_shell_equals_true_HIGH,1,assert_used_LOW,926,subprocess_without_shell_equals_true_LOW,23,start_process_with_partial_path_LOW,21,subprocess_popen_with_shell_equals_true_HIGH,1,N/A,0,error_possibly-used-before-assignment,2,error_assignment-from-no-return,1,error_too-many-function-args,1,error_access-member-before-definition,2,error_syntax-error,1,error_no-value-for-parameter,1,Python,Metta-AI/metta
3086016084,634,daveey,452472,closed,2025-05-23T11:03:59Z,2025-05-23T17:01:55Z,2025-05-23T17:01:55Z,https://api.github.com/repos/Metta-AI/metta,843988367.0,https://github.com/Metta-AI/metta/pull/634,OpenAI_Codex,262111993a48467e87ddd966b29ad8fe66cfc6c3,a2a4120584acfdb6129309cc64650a5196040baa,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Metta-AI/metta
3119932381,822,daveey,452472,closed,2025-06-05T05:46:05Z,2025-06-12T05:55:17Z,2025-06-12T05:55:17Z,https://api.github.com/repos/Metta-AI/metta,843988367.0,https://github.com/Metta-AI/metta/pull/822,OpenAI_Codex,3f9b7140816e6341461989027a63bb7ed426b04c,5b25894f8d534a1fbb486075311fa1683543c8a9,460,61,0,42,1,0,0,0,16,0,0,0,assert_used_LOW,3,start_process_with_partial_path_LOW,2,start_process_with_a_shell_LOW,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Metta-AI/metta
3101467612,732,daveey,452472,closed,2025-05-29T20:56:15Z,2025-05-29T20:56:26Z,2025-05-29T20:56:26Z,https://api.github.com/repos/Metta-AI/metta,843988367.0,https://github.com/Metta-AI/metta/pull/732,OpenAI_Codex,31b1aed0e3e9c29681592567bfdf88416f3ac631,2ca68b49c1ce29834708c2279ed8bed14e3e69d0,76,8,0,0,0,0,0,0,28,0,0,0,assert_used_LOW,14,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Metta-AI/metta
3101529662,733,daveey,452472,closed,2025-05-29T21:27:53Z,2025-05-29T21:29:21Z,2025-05-29T21:29:21Z,https://api.github.com/repos/Metta-AI/metta,843988367.0,https://github.com/Metta-AI/metta/pull/733,OpenAI_Codex,3ce2b3e940fdb1688fb7f770d3291dbfd64ef23a,e6e6ab0fb584fa1ff29a00b1193371aeae5d45fb,133,16,0,7,0,0,0,0,30,0,0,0,assert_used_LOW,15,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Metta-AI/metta
