id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3219880512,10340,majdyz,76959103,closed,2025-07-10T15:52:56Z,2025-07-18T03:20:54Z,2025-07-18T03:20:54Z,https://api.github.com/repos/Significant-Gravitas/AutoGPT,614765452.0,https://github.com/Significant-Gravitas/AutoGPT/pull/10340,Claude_Code,c451337cb5f6c80f79acfa5d15c34811e621394e,0f2b7dd11d16aab25fa9865c6799752c0daa8781,1708,121,2,110,3,0,0,0,120,0,0,0,assert_used_LOW,58,try_except_pass_LOW,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Significant-Gravitas/AutoGPT
3275609390,10483,majdyz,76959103,closed,2025-07-30T04:14:20Z,2025-07-30T05:27:20Z,2025-07-30T05:27:20Z,https://api.github.com/repos/Significant-Gravitas/AutoGPT,614765452.0,https://github.com/Significant-Gravitas/AutoGPT/pull/10483,Claude_Code,b9c7642cfc25d8c475d23b6332fb3286dfcfa584,558aca8f6119bf3707253f5eb9a4c1086347b9e5,571,33,0,27,0,0,0,0,112,0,0,0,assert_used_LOW,56,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Significant-Gravitas/AutoGPT
3222268735,10351,Swiftyos,10382233,open,2025-07-11T09:40:37Z,,,https://api.github.com/repos/Significant-Gravitas/AutoGPT,614765452.0,https://github.com/Significant-Gravitas/AutoGPT/pull/10351,Claude_Code,e3590e1eb05ef19c4892268cdf6633a162c2506c,4e2bcebbc632cf98be6278d0c6671e2c53b2ced7,-2637,-255,-6,-315,-14,0,0,0,-172,0,0,0,N/A,0,N/A,0,N/A,0,assert_used_LOW,72,blacklist_LOW,11,try_except_pass_LOW,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Significant-Gravitas/AutoGPT
3071032963,9961,Torantulino,22963551,open,2025-05-17T20:03:58Z,,,https://api.github.com/repos/Significant-Gravitas/AutoGPT,614765452.0,https://github.com/Significant-Gravitas/AutoGPT/pull/9961,OpenAI_Codex,83fe8d5b94d4bd871f0cb93cc818ddff289250ab,e43dc3d2175d3ef580b86533672e573c70297ba0,-48601,-3748,-60,-4464,-159,0,0,34,-2606,0,-1,0,request_without_timeout_MEDIUM,18,N/A,0,N/A,0,assert_used_LOW,1180,blacklist_LOW,75,hardcoded_password_funcarg_LOW,23,N/A,0,N/A,0,error_unpacking-non-sequence,1,N/A,0,N/A,0,error_no-self-argument,2,N/A,0,N/A,0,Python,Significant-Gravitas/AutoGPT
3071037378,9962,Torantulino,22963551,closed,2025-05-17T20:13:06Z,2025-05-18T06:51:17Z,,https://api.github.com/repos/Significant-Gravitas/AutoGPT,614765452.0,https://github.com/Significant-Gravitas/AutoGPT/pull/9962,OpenAI_Codex,bd425331f11c5a6e8eafc1e52046e4b6c6164c51,736f124d162262ab80543176e553e4dd26494653,190,13,0,9,1,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Significant-Gravitas/AutoGPT
3083630331,10005,Swiftyos,10382233,closed,2025-05-22T14:42:40Z,2025-05-24T16:19:35Z,,https://api.github.com/repos/Significant-Gravitas/AutoGPT,614765452.0,https://github.com/Significant-Gravitas/AutoGPT/pull/10005,OpenAI_Codex,8f1b3eb8ba6f7a5176f90786b2fa8bcaa2372729,409d327d6369fc03912cd1e2b662d790bb4e69f8,8,3,0,6,2,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Significant-Gravitas/AutoGPT
3083685567,10009,majdyz,76959103,closed,2025-05-22T15:00:23Z,2025-05-22T16:01:54Z,2025-05-22T16:01:54Z,https://api.github.com/repos/Significant-Gravitas/AutoGPT,614765452.0,https://github.com/Significant-Gravitas/AutoGPT/pull/10009,OpenAI_Codex,8f1b3eb8ba6f7a5176f90786b2fa8bcaa2372729,37cf5894cdb720ad3fa286d69d4f77029a927b0d,7,2,1,3,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Significant-Gravitas/AutoGPT
3083708925,10011,itsababseh,36419647,open,2025-05-22T15:07:31Z,,,https://api.github.com/repos/Significant-Gravitas/AutoGPT,614765452.0,https://github.com/Significant-Gravitas/AutoGPT/pull/10011,OpenAI_Codex,83fe8d5b94d4bd871f0cb93cc818ddff289250ab,47e06a2d6f66a0a131525bcd449ac6d745102a53,-9357,-742,-12,-1091,-34,0,0,-2,-644,0,0,0,N/A,0,N/A,0,N/A,0,assert_used_LOW,295,hardcoded_password_funcarg_LOW,16,hardcoded_password_string_LOW,10,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Significant-Gravitas/AutoGPT
3083723203,10013,Torantulino,22963551,closed,2025-05-22T15:12:31Z,2025-05-22T16:10:46Z,2025-05-22T16:10:46Z,https://api.github.com/repos/Significant-Gravitas/AutoGPT,614765452.0,https://github.com/Significant-Gravitas/AutoGPT/pull/10013,OpenAI_Codex,8f1b3eb8ba6f7a5176f90786b2fa8bcaa2372729,acc2f350b3ffb10a31e315c7befdbe90fa41fe6e,2,1,0,1,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Significant-Gravitas/AutoGPT
3083568715,10002,ograce1421,191569339,closed,2025-05-22T14:23:28Z,2025-05-22T16:27:33Z,2025-05-22T16:27:33Z,https://api.github.com/repos/Significant-Gravitas/AutoGPT,614765452.0,https://github.com/Significant-Gravitas/AutoGPT/pull/10002,OpenAI_Codex,8f1b3eb8ba6f7a5176f90786b2fa8bcaa2372729,9e0d3638540d3d2be380b1dc865e5ba48ad44b33,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,Significant-Gravitas/AutoGPT
