id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3106768317,779,arockwell,21548,closed,2025-06-01T07:12:44Z,2025-06-04T00:06:31Z,2025-06-04T00:06:31Z,https://api.github.com/repos/arockwell/local_newsifier,964938887.0,https://github.com/arockwell/local_newsifier/pull/779,Claude_Code,8b4ec8e08665235a35cf7ee52f06036a5e59425a,55e7b3fb6c588a8d5d5b3ecf5096aed685b9144c,-347,-28,-3,-65,-2,0,0,8,-30,0,0,0,request_without_timeout_MEDIUM,4,N/A,0,N/A,0,assert_used_LOW,14,try_except_pass_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,arockwell/local_newsifier
3092725399,759,arockwell,21548,closed,2025-05-27T06:20:49Z,2025-05-27T06:23:34Z,2025-05-27T06:23:34Z,https://api.github.com/repos/arockwell/local_newsifier,964938887.0,https://github.com/arockwell/local_newsifier/pull/759,Claude_Code,41c2c540d82862185c95be6771821cbe350c65e3,043e9c76b65d3514b4f9644cfc4bec6b5cbe3a08,-1,1,0,0,0,0,0,0,-2,0,0,0,N/A,0,N/A,0,N/A,0,try_except_pass_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,arockwell/local_newsifier
3037819373,236,arockwell,21548,closed,2025-05-04T06:57:04Z,2025-05-09T07:04:00Z,,https://api.github.com/repos/arockwell/local_newsifier,964938887.0,https://github.com/arockwell/local_newsifier/pull/236,Claude_Code,d7abc028a01515be657490d058e3680676e1bd0f,cbadbd0f419566e3f9cd18e77ad637733bfd6899,4064,326,1,357,10,0,0,0,244,0,-20,0,assert_used_LOW,117,hardcoded_password_string_LOW,2,try_except_pass_LOW,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-value-for-parameter,20,N/A,0,N/A,0,Python,arockwell/local_newsifier
3038201281,260,arockwell,21548,closed,2025-05-04T19:40:00Z,2025-05-05T00:32:48Z,,https://api.github.com/repos/arockwell/local_newsifier,964938887.0,https://github.com/arockwell/local_newsifier/pull/260,Claude_Code,45068dc81bd2473469e54274c893445269aef6ad,54c3ebe5f5e3a150bb60571fc99138e876481f55,38,-4,0,-1,1,0,0,0,-92,0,3,0,hardcoded_password_funcarg_LOW,1,N/A,0,N/A,0,assert_used_LOW,47,N/A,0,N/A,0,N/A,0,N/A,0,error_function-redefined,2,error_no-value-for-parameter,1,N/A,0,N/A,0,N/A,0,N/A,0,Python,arockwell/local_newsifier
3038214047,263,arockwell,21548,closed,2025-05-04T20:06:59Z,2025-05-05T01:40:08Z,2025-05-05T01:40:08Z,https://api.github.com/repos/arockwell/local_newsifier,964938887.0,https://github.com/arockwell/local_newsifier/pull/263,Claude_Code,c6773774eb2f534fdaf7b0d6100b36dfd123ceb4,3618c06dd5385d2786aee52aeaa5f084d9e41e78,2150,131,0,58,1,0,0,0,414,0,1,0,assert_used_LOW,206,hardcoded_password_funcarg_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_invalid-class-object,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,arockwell/local_newsifier
3044766501,310,arockwell,21548,closed,2025-05-07T05:50:26Z,2025-05-09T05:37:53Z,,https://api.github.com/repos/arockwell/local_newsifier,964938887.0,https://github.com/arockwell/local_newsifier/pull/310,Claude_Code,aeac710af1cc10646d05fa4e04e7061f2b4df11f,6bd00d97b830270ba43eec4e6a656ed263cf93b9,1075,83,1,34,-3,0,0,0,50,0,-32,0,assert_used_LOW,25,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-value-for-parameter,32,N/A,0,N/A,0,Python,arockwell/local_newsifier
3081974604,647,arockwell,21548,closed,2025-05-22T04:07:53Z,2025-05-22T04:25:57Z,2025-05-22T04:25:57Z,https://api.github.com/repos/arockwell/local_newsifier,964938887.0,https://github.com/arockwell/local_newsifier/pull/647,OpenAI_Codex,112b156c6e221521ec02cc32d442a5e251c91103,cb145c5365f1410605704607a6a878e760308a7e,-114,-10,0,1,2,0,0,0,-60,0,0,0,hardcoded_password_string_LOW,1,N/A,0,N/A,0,assert_used_LOW,30,try_except_pass_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,arockwell/local_newsifier
3081974832,649,arockwell,21548,closed,2025-05-22T04:08:04Z,2025-06-01T00:00:43Z,,https://api.github.com/repos/arockwell/local_newsifier,964938887.0,https://github.com/arockwell/local_newsifier/pull/649,OpenAI_Codex,112b156c6e221521ec02cc32d442a5e251c91103,8795d8e86da98c181f260d284e8486be6e76974d,-150,-11,0,1,2,0,0,0,-74,0,0,0,N/A,0,N/A,0,N/A,0,assert_used_LOW,36,try_except_pass_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,arockwell/local_newsifier
3081977612,652,arockwell,21548,closed,2025-05-22T04:10:25Z,2025-05-22T05:03:45Z,2025-05-22T05:03:45Z,https://api.github.com/repos/arockwell/local_newsifier,964938887.0,https://github.com/arockwell/local_newsifier/pull/652,OpenAI_Codex,112b156c6e221521ec02cc32d442a5e251c91103,124df5f3103159081c805f71aa62a24faafd1d07,-241,-20,0,1,2,0,0,0,-74,0,0,0,N/A,0,N/A,0,N/A,0,assert_used_LOW,36,try_except_pass_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,arockwell/local_newsifier
3082005257,658,arockwell,21548,closed,2025-05-22T04:32:31Z,2025-05-22T04:48:38Z,,https://api.github.com/repos/arockwell/local_newsifier,964938887.0,https://github.com/arockwell/local_newsifier/pull/658,OpenAI_Codex,219aa0f4b97f89181926752a96382671106958a8,638831ee6a7307c4a50204c696d7c23c159bba2d,91,0,0,4,1,0,0,0,-66,0,0,0,try_except_pass_LOW,1,N/A,0,N/A,0,assert_used_LOW,33,hardcoded_password_string_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,arockwell/local_newsifier
