id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3087360988,38,danielscholl,26447046,closed,2025-05-23T19:38:08Z,2025-05-23T19:39:17Z,2025-05-23T19:39:17Z,https://api.github.com/repos/danielscholl-osdu/osdu-mcp-server,987899515.0,https://github.com/danielscholl-osdu/osdu-mcp-server/pull/38,Claude_Code,6bc046cdf725c018bbaaf7f9675569f09a96288d,199751e69865c86b64049c8275591985cd0a4e92,-5,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,danielscholl-osdu/osdu-mcp-server
3087546199,46,danielscholl,26447046,closed,2025-05-23T21:10:34Z,2025-05-24T00:29:12Z,,https://api.github.com/repos/danielscholl-osdu/osdu-mcp-server,987899515.0,https://github.com/danielscholl-osdu/osdu-mcp-server/pull/46,Claude_Code,1806f0e56c0aae14bb4cb4307d767105fc20cca4,1000482dd97beb1efe6dff58433dcb7bcd8b3bd1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,danielscholl-osdu/osdu-mcp-server
3161111245,90,danielscholl,26447046,closed,2025-06-19T18:49:04Z,2025-06-19T18:53:48Z,2025-06-19T18:53:48Z,https://api.github.com/repos/danielscholl-osdu/osdu-mcp-server,987899515.0,https://github.com/danielscholl-osdu/osdu-mcp-server/pull/90,Claude_Code,b6f409b8ddeaaaf550ca798ffd5eb03409fdefca,3e7af4b4610c5c382818084963dcf4bf14ea5e98,722,32,0,10,0,0,0,0,106,0,0,0,assert_used_LOW,50,hardcoded_password_funcarg_LOW,3,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,danielscholl-osdu/osdu-mcp-server
3161620809,101,danielscholl,26447046,closed,2025-06-20T00:52:21Z,2025-06-20T00:53:39Z,2025-06-20T00:53:39Z,https://api.github.com/repos/danielscholl-osdu/osdu-mcp-server,987899515.0,https://github.com/danielscholl-osdu/osdu-mcp-server/pull/101,Claude_Code,cd57176a719070e8003d19d01fe6f97a2a94a0a3,a50e4baf44d028337fb272d531a11efa30691ff3,19,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,danielscholl-osdu/osdu-mcp-server
3086458566,32,Copilot,198982749,closed,2025-05-23T13:52:28Z,2025-05-23T14:17:30Z,2025-05-23T14:17:30Z,https://api.github.com/repos/danielscholl-osdu/osdu-mcp-server,987899515.0,https://github.com/danielscholl-osdu/osdu-mcp-server/pull/32,Copilot,706a4dd3f7ca184a47265e49830005c699928163,97ded006454ba7bb8f54bd15610e2048ded38acc,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,danielscholl-osdu/osdu-mcp-server
3100775166,74,Copilot,198982749,closed,2025-05-29T15:57:31Z,2025-05-29T16:05:53Z,2025-05-29T16:05:53Z,https://api.github.com/repos/danielscholl-osdu/osdu-mcp-server,987899515.0,https://github.com/danielscholl-osdu/osdu-mcp-server/pull/74,Copilot,3c7d958d4cd215b4932855bdddb61362ea994286,44a076132b14ccfb98fc08465a0daa0365fc3bd3,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,danielscholl-osdu/osdu-mcp-server
3100848436,78,Copilot,198982749,closed,2025-05-29T16:27:53Z,2025-05-29T17:13:10Z,2025-05-29T17:13:10Z,https://api.github.com/repos/danielscholl-osdu/osdu-mcp-server,987899515.0,https://github.com/danielscholl-osdu/osdu-mcp-server/pull/78,Copilot,861487ddc11e334dab749210c015a69bdd5963c0,6abd6651a0e84c4800e2f0edc52f8607804dbdcc,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,danielscholl-osdu/osdu-mcp-server
3087768238,60,Copilot,198982749,closed,2025-05-24T00:23:12Z,2025-05-24T00:28:52Z,2025-05-24T00:28:52Z,https://api.github.com/repos/danielscholl-osdu/osdu-mcp-server,987899515.0,https://github.com/danielscholl-osdu/osdu-mcp-server/pull/60,Copilot,dbaa00ceb729f81df23f05513c64cd2b52146113,24f1c942b58b02d0e90ed8300b5d34971631874d,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,danielscholl-osdu/osdu-mcp-server
3087586464,49,Copilot,198982749,closed,2025-05-23T21:36:52Z,2025-05-23T21:44:49Z,2025-05-23T21:44:48Z,https://api.github.com/repos/danielscholl-osdu/osdu-mcp-server,987899515.0,https://github.com/danielscholl-osdu/osdu-mcp-server/pull/49,Copilot,a3c567cec1d6934bf0eb5251473045ac05b4a429,12dd646277f2ba5340a32951a1dad97890242bb4,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,danielscholl-osdu/osdu-mcp-server
3087617153,51,Copilot,198982749,closed,2025-05-23T21:55:48Z,2025-05-23T22:03:52Z,2025-05-23T22:03:52Z,https://api.github.com/repos/danielscholl-osdu/osdu-mcp-server,987899515.0,https://github.com/danielscholl-osdu/osdu-mcp-server/pull/51,Copilot,7982794be3c043a139cbc11adb5b9954f2270149,330a90160fae5ecf40abd283dc62d218ddf0c512,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,danielscholl-osdu/osdu-mcp-server
