id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3165476679,20,dhyansraj,22983630,closed,2025-06-21T22:32:22Z,2025-06-21T22:34:26Z,2025-06-21T22:34:26Z,https://api.github.com/repos/dhyansraj/mcp-mesh,994771840.0,https://github.com/dhyansraj/mcp-mesh/pull/20,Claude_Code,0dbc031c49a5d39375c6b2f84169b26571292bf0,2eb28250c4ca931454f16f3ec346b59a206118d2,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,dhyansraj/mcp-mesh
3190362193,63,dhyansraj,22983630,closed,2025-07-01T01:35:58Z,2025-07-01T01:37:19Z,2025-07-01T01:37:19Z,https://api.github.com/repos/dhyansraj/mcp-mesh,994771840.0,https://github.com/dhyansraj/mcp-mesh/pull/63,Claude_Code,840ef56d5406c8147fee45210d019c8ac9293606,73d36a5c7654faa7111da037718fdd99e72ed14c,-137,-35,-1,-30,-2,0,0,-2,0,0,0,0,N/A,0,N/A,0,N/A,0,hardcoded_bind_all_interfaces_MEDIUM,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,dhyansraj/mcp-mesh
3203737225,75,dhyansraj,22983630,closed,2025-07-04T21:29:12Z,2025-07-04T21:32:23Z,2025-07-04T21:32:23Z,https://api.github.com/repos/dhyansraj/mcp-mesh,994771840.0,https://github.com/dhyansraj/mcp-mesh/pull/75,Claude_Code,c14c9093f9893c3bf320c5b6082c8f261ac80b91,45c10568b3d130eefabb4bd306390cc91ddb524c,4024,444,10,513,22,0,0,6,262,0,4,0,assert_used_LOW,128,blacklist_MEDIUM,3,try_except_pass_LOW,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_undefined-all-variable,4,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,dhyansraj/mcp-mesh
3203803918,77,dhyansraj,22983630,closed,2025-07-04T22:35:31Z,2025-07-04T22:36:50Z,2025-07-04T22:36:50Z,https://api.github.com/repos/dhyansraj/mcp-mesh,994771840.0,https://github.com/dhyansraj/mcp-mesh/pull/77,Claude_Code,7a55bf97fc886abc14412a48fbf13122ef5124fd,15c1c7f322b57d55a992fa86edcf9958cf06fe96,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,dhyansraj/mcp-mesh
3205890770,82,dhyansraj,22983630,closed,2025-07-06T01:29:59Z,2025-07-06T01:31:30Z,2025-07-06T01:31:30Z,https://api.github.com/repos/dhyansraj/mcp-mesh,994771840.0,https://github.com/dhyansraj/mcp-mesh/pull/82,Claude_Code,5968731001400ef95b3d75b46d7b7717741bd597,ff8faddd6879d77754a3168712db9096f136e366,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,dhyansraj/mcp-mesh
3266329872,92,dhyansraj,22983630,closed,2025-07-27T00:09:10Z,2025-07-27T00:13:54Z,2025-07-27T00:13:54Z,https://api.github.com/repos/dhyansraj/mcp-mesh,994771840.0,https://github.com/dhyansraj/mcp-mesh/pull/92,Claude_Code,9a7d189c7d4377450ecb1fd30038389eaaccf60d,1080f9a36974b8e201d80f45876e16573b3c20bf,898,100,0,64,2,0,0,0,6,0,1,0,try_except_pass_LOW,3,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_used-before-assignment,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,dhyansraj/mcp-mesh
3266395243,94,dhyansraj,22983630,closed,2025-07-27T01:08:01Z,2025-07-27T01:17:03Z,2025-07-27T01:17:03Z,https://api.github.com/repos/dhyansraj/mcp-mesh,994771840.0,https://github.com/dhyansraj/mcp-mesh/pull/94,Claude_Code,3f33899706925a76256175df9c7e7be0b12ed22b,771844d4fa4074b58d06fdc6a6819658816978b2,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,dhyansraj/mcp-mesh
3197054703,73,dhyansraj,22983630,closed,2025-07-02T20:07:36Z,2025-07-02T20:14:51Z,2025-07-02T20:14:51Z,https://api.github.com/repos/dhyansraj/mcp-mesh,994771840.0,https://github.com/dhyansraj/mcp-mesh/pull/73,Claude_Code,50acb3e6c2c7c458c5b5ba3e204140708691bcf1,ff98a8559f0c597590096048e28ab0511c20bfb3,3274,213,1,128,3,0,0,2,308,0,0,0,assert_used_LOW,154,hardcoded_bind_all_interfaces_MEDIUM,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,dhyansraj/mcp-mesh
3166320252,37,dhyansraj,22983630,closed,2025-06-22T22:19:01Z,2025-06-22T22:19:29Z,2025-06-22T22:19:29Z,https://api.github.com/repos/dhyansraj/mcp-mesh,994771840.0,https://github.com/dhyansraj/mcp-mesh/pull/37,Claude_Code,1b1ebe59b18de6392d6064b14cc529929556f1e5,c009192815b1b97f020a45b5076e82d7ad922f22,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,dhyansraj/mcp-mesh
3168299249,39,dhyansraj,22983630,closed,2025-06-23T13:54:13Z,2025-06-23T13:57:17Z,2025-06-23T13:57:17Z,https://api.github.com/repos/dhyansraj/mcp-mesh,994771840.0,https://github.com/dhyansraj/mcp-mesh/pull/39,Claude_Code,dc2c176b1afc8f398e6e88fda95b71417352e6df,7d716f3657561890edae229938d3d4a8229d539f,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,dhyansraj/mcp-mesh
