id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3148018891,1,exp-ouroborous,305758,closed,2025-06-15T19:51:29Z,2025-06-15T19:53:15Z,2025-06-15T19:53:15Z,https://api.github.com/repos/exp-ouroborous/starter-webapp,1002580031.0,https://github.com/exp-ouroborous/starter-webapp/pull/1,Claude_Code,e1828631330e77592a75ecaed3cdde5aeb369f72,1ba52e7fa58c273105b75dca521ee2b7360a6c2c,199,18,0,3,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,exp-ouroborous/starter-webapp
3148034013,2,exp-ouroborous,305758,closed,2025-06-15T20:14:31Z,2025-06-15T20:40:51Z,,https://api.github.com/repos/exp-ouroborous/starter-webapp,1002580031.0,https://github.com/exp-ouroborous/starter-webapp/pull/2,Claude_Code,170466d38a353c35d31507b43535b8064aba9cd6,7e93e49f1fa8fe2654d4865e6625c90e6ba99742,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,exp-ouroborous/starter-webapp
3148050228,3,exp-ouroborous,305758,closed,2025-06-15T20:41:12Z,2025-06-15T20:42:12Z,2025-06-15T20:42:12Z,https://api.github.com/repos/exp-ouroborous/starter-webapp,1002580031.0,https://github.com/exp-ouroborous/starter-webapp/pull/3,Claude_Code,170466d38a353c35d31507b43535b8064aba9cd6,a1715017046615d8bbd1d39809f78405cc145f0b,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,exp-ouroborous/starter-webapp
3148058561,4,exp-ouroborous,305758,closed,2025-06-15T20:54:27Z,2025-06-15T21:01:28Z,2025-06-15T21:01:28Z,https://api.github.com/repos/exp-ouroborous/starter-webapp,1002580031.0,https://github.com/exp-ouroborous/starter-webapp/pull/4,Claude_Code,ddadea8d515e6e4194adb6a847b91ae1bc4ba3b3,505006beacd5368bba9f0305b3b410966d5a6ede,89,20,0,13,1,0,2,0,2,0,0,0,blacklist_LOW,1,subprocess_popen_with_shell_equals_true_HIGH,1,N/A,0,N/A,0,N/A,0,N/A,0,subprocess_popen_with_shell_equals_true_HIGH,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,exp-ouroborous/starter-webapp
3148176944,11,exp-ouroborous,305758,closed,2025-06-16T00:02:21Z,2025-06-16T00:03:25Z,2025-06-16T00:03:25Z,https://api.github.com/repos/exp-ouroborous/starter-webapp,1002580031.0,https://github.com/exp-ouroborous/starter-webapp/pull/11,Claude_Code,3e14f58f64a921e0e21a19b032be3ba57261228c,1f41c8a74202264f062abed1e6bed3f0c3bf82c9,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,exp-ouroborous/starter-webapp
3148182280,12,exp-ouroborous,305758,closed,2025-06-16T00:08:19Z,2025-06-16T00:09:43Z,2025-06-16T00:09:43Z,https://api.github.com/repos/exp-ouroborous/starter-webapp,1002580031.0,https://github.com/exp-ouroborous/starter-webapp/pull/12,Claude_Code,fae8555b96b3f7db66c8515fe3c555d3846b407e,62864ff00bd396c3b66b1b06c3784e95ace29c47,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,exp-ouroborous/starter-webapp
3148195267,14,exp-ouroborous,305758,closed,2025-06-16T00:22:20Z,2025-06-16T00:22:34Z,2025-06-16T00:22:34Z,https://api.github.com/repos/exp-ouroborous/starter-webapp,1002580031.0,https://github.com/exp-ouroborous/starter-webapp/pull/14,Claude_Code,19c4c72d74fd0a85acfea3cefc5bf69318528673,9b72dc4795228403f60fc369445764c14df801a2,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,exp-ouroborous/starter-webapp
3185646743,15,exp-ouroborous,305758,closed,2025-06-29T01:36:00Z,2025-06-29T01:37:53Z,2025-06-29T01:37:53Z,https://api.github.com/repos/exp-ouroborous/starter-webapp,1002580031.0,https://github.com/exp-ouroborous/starter-webapp/pull/15,Claude_Code,1fe2f377747874c1cbccf40389558ca6555efedd,94b5a7a577a84bf4b2fac0e45ca885f453553202,212,42,1,70,2,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,exp-ouroborous/starter-webapp
3185659018,18,exp-ouroborous,305758,closed,2025-06-29T02:01:49Z,2025-06-29T02:02:58Z,2025-06-29T02:02:58Z,https://api.github.com/repos/exp-ouroborous/starter-webapp,1002580031.0,https://github.com/exp-ouroborous/starter-webapp/pull/18,Claude_Code,f4983e4e65a7160a6f2378546dfd49e276e21ae3,24f66947ed11858aad989d1c3d9a0d532a17acff,26,2,0,2,1,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,exp-ouroborous/starter-webapp
3186386215,19,exp-ouroborous,305758,closed,2025-06-29T17:28:34Z,2025-06-29T17:28:56Z,2025-06-29T17:28:56Z,https://api.github.com/repos/exp-ouroborous/starter-webapp,1002580031.0,https://github.com/exp-ouroborous/starter-webapp/pull/19,Claude_Code,f08b863f1387701b329522babd59e9d8a8e716f8,97c292af61ad9ec504aa39c09dc2416b0136e97c,825,108,2,114,3,0,4,4,14,0,0,0,subprocess_without_shell_equals_true_LOW,3,blacklist_LOW,2,subprocess_popen_with_shell_equals_true_HIGH,2,N/A,0,N/A,0,N/A,0,subprocess_popen_with_shell_equals_true_HIGH,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,exp-ouroborous/starter-webapp
