id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3265536046,135,identity-wael,179677050,closed,2025-07-26T12:33:02Z,2025-07-26T13:30:41Z,2025-07-26T13:30:41Z,https://api.github.com/repos/identity-wael/neurascale,848641760.0,https://github.com/identity-wael/neurascale/pull/135,Claude_Code,4a5f73479e934a4dec33cc9c8d6cf901915daeec,2defa9f8193ed5025de3a87f6d77458336431ab5,1672,184,0,155,3,0,0,2,100,0,0,0,assert_used_LOW,45,try_except_pass_LOW,3,blacklist_LOW,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,identity-wael/neurascale
3274715312,182,identity-wael,179677050,closed,2025-07-29T19:20:46Z,2025-07-29T22:12:30Z,2025-07-29T22:12:30Z,https://api.github.com/repos/identity-wael/neurascale,848641760.0,https://github.com/identity-wael/neurascale/pull/182,Claude_Code,cf00a71814f1cbd48b0656da40420b50d8a1a352,7d77c5d90d5d7292e1983f4fb8177403ce868fcd,5140,496,5,487,21,0,0,4,0,0,0,0,hardcoded_bind_all_interfaces_MEDIUM,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,identity-wael/neurascale
3256732074,93,identity-wael,179677050,closed,2025-07-23T15:02:10Z,2025-07-23T15:08:53Z,,https://api.github.com/repos/identity-wael/neurascale,848641760.0,https://github.com/identity-wael/neurascale/pull/93,Claude_Code,edd8ef70728e33d1c44d0f6c8504784518a19383,92f457f3286b87a0aa03ec1a92926c29454de8a5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,identity-wael/neurascale
3256763382,94,identity-wael,179677050,closed,2025-07-23T15:11:55Z,2025-07-23T16:40:18Z,2025-07-23T16:40:18Z,https://api.github.com/repos/identity-wael/neurascale,848641760.0,https://github.com/identity-wael/neurascale/pull/94,Claude_Code,edd8ef70728e33d1c44d0f6c8504784518a19383,bcc3f5c5be0c2277eceec997b04c74932be86692,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,identity-wael/neurascale
3196509788,2,identity-wael,179677050,closed,2025-07-02T16:38:28Z,2025-07-02T16:38:56Z,2025-07-02T16:38:56Z,https://api.github.com/repos/identity-wael/neurascale,848641760.0,https://github.com/identity-wael/neurascale/pull/2,OpenAI_Codex,4953b0bb5449f82985e4a83e2a86f088ed98ee17,d72fff29426d48839e4f3450a07155cc046836a4,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,identity-wael/neurascale
3196524294,3,identity-wael,179677050,closed,2025-07-02T16:42:23Z,2025-07-02T16:42:38Z,2025-07-02T16:42:38Z,https://api.github.com/repos/identity-wael/neurascale,848641760.0,https://github.com/identity-wael/neurascale/pull/3,OpenAI_Codex,6ed26192b026ed80ef66d2f17ed6210253d2415b,5b0a6f1f0113e2bbfc7fad77cf9c0682f6ddd3d6,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,identity-wael/neurascale
3196547060,4,identity-wael,179677050,closed,2025-07-02T16:49:18Z,2025-07-02T16:49:29Z,2025-07-02T16:49:29Z,https://api.github.com/repos/identity-wael/neurascale,848641760.0,https://github.com/identity-wael/neurascale/pull/4,OpenAI_Codex,9ce4d0a3a8363c1cc30a96da79536e1649f69d35,25d3b1790085e9112c1286716e60815bce551890,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,identity-wael/neurascale
3196996761,23,identity-wael,179677050,closed,2025-07-02T19:42:33Z,2025-07-02T19:42:42Z,2025-07-02T19:42:42Z,https://api.github.com/repos/identity-wael/neurascale,848641760.0,https://github.com/identity-wael/neurascale/pull/23,OpenAI_Codex,53e1a14626fa6cbcbb571648a912d7e72f285a6a,b404907de7582b638ebcfc42dc64b16b04a05267,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,identity-wael/neurascale
3196924556,18,identity-wael,179677050,closed,2025-07-02T19:09:16Z,2025-07-02T19:11:38Z,2025-07-02T19:11:38Z,https://api.github.com/repos/identity-wael/neurascale,848641760.0,https://github.com/identity-wael/neurascale/pull/18,OpenAI_Codex,a48735321c449fd2aecb9678f6f015967b9e9578,9051121db48166a9c13a51d741d4c8ef66f7b58a,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,identity-wael/neurascale
3196834202,12,identity-wael,179677050,closed,2025-07-02T18:30:11Z,2025-07-02T18:30:16Z,2025-07-02T18:30:16Z,https://api.github.com/repos/identity-wael/neurascale,848641760.0,https://github.com/identity-wael/neurascale/pull/12,OpenAI_Codex,28b5ac6d4a55de8424cf5e470b9e1c8dab9e871a,ee137a3beaee59403c4d0998302f0cfd885b535e,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,identity-wael/neurascale
