id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3273635562,76,joaoblasques,1001327,closed,2025-07-29T13:20:25Z,2025-07-29T13:24:55Z,2025-07-29T13:24:55Z,https://api.github.com/repos/joaoblasques/e-commerce-analytics-platform,1021396178.0,https://github.com/joaoblasques/e-commerce-analytics-platform/pull/76,Claude_Code,b374c5b218507a62fa9bcff800a4daec19b9f208,a2f5289b05b2c91608dc6f53e6f68c57f40209a9,3566,318,2,313,13,0,0,0,282,0,0,0,assert_used_LOW,117,blacklist_LOW,11,try_except_pass_LOW,7,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,joaoblasques/e-commerce-analytics-platform
3263620445,67,joaoblasques,1001327,closed,2025-07-25T15:33:14Z,2025-07-25T15:33:19Z,2025-07-25T15:33:19Z,https://api.github.com/repos/joaoblasques/e-commerce-analytics-platform,1021396178.0,https://github.com/joaoblasques/e-commerce-analytics-platform/pull/67,Claude_Code,fa77443f212f6d8b46110235a0d9768d9f0cd911,eebc9eb8d2c3d4d88331d09413fe6623217e4e23,3008,307,3,258,10,0,0,10,190,0,4,0,assert_used_LOW,90,try_except_pass_LOW,5,hardcoded_tmp_directory_MEDIUM,4,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-value-for-parameter,1,error_unexpected-keyword-arg,1,error_used-before-assignment,1,N/A,0,N/A,0,N/A,0,Python,joaoblasques/e-commerce-analytics-platform
3245408280,28,joaoblasques,1001327,closed,2025-07-19T16:00:11Z,2025-07-19T16:09:31Z,2025-07-19T16:09:31Z,https://api.github.com/repos/joaoblasques/e-commerce-analytics-platform,1021396178.0,https://github.com/joaoblasques/e-commerce-analytics-platform/pull/28,Claude_Code,af19a59da4f42864e0f037b97aa610964013963c,fea7760e8ca9a68e58a35ccedcaba391dc1bcf55,1909,178,2,136,5,0,0,0,198,0,0,0,assert_used_LOW,98,blacklist_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,joaoblasques/e-commerce-analytics-platform
3246132847,29,joaoblasques,1001327,closed,2025-07-20T08:08:15Z,2025-07-20T08:08:35Z,2025-07-20T08:08:35Z,https://api.github.com/repos/joaoblasques/e-commerce-analytics-platform,1021396178.0,https://github.com/joaoblasques/e-commerce-analytics-platform/pull/29,Claude_Code,8138897b5cd26aeb14fcdc602373dc65a8f33d86,d083a2d6ce760f40b200e1797b2921275e56b0b6,2719,291,0,266,12,0,0,12,2,0,7,0,hardcoded_tmp_directory_MEDIUM,6,try_except_pass_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-value-for-parameter,6,error_unexpected-keyword-arg,1,N/A,0,N/A,0,N/A,0,N/A,0,Python,joaoblasques/e-commerce-analytics-platform
3248043895,39,joaoblasques,1001327,closed,2025-07-21T10:23:00Z,2025-07-21T10:23:06Z,2025-07-21T10:23:06Z,https://api.github.com/repos/joaoblasques/e-commerce-analytics-platform,1021396178.0,https://github.com/joaoblasques/e-commerce-analytics-platform/pull/39,Claude_Code,d7177e77bb6b36e47fa942d96d2558d944a4f31a,6fd292d476044b3326c829775b3dab0e8845b5ac,3391,316,4,325,13,0,0,0,238,0,3,0,assert_used_LOW,118,try_except_pass_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-value-for-parameter,3,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,joaoblasques/e-commerce-analytics-platform
3243609177,21,joaoblasques,1001327,closed,2025-07-18T15:33:59Z,2025-07-18T15:36:07Z,2025-07-18T15:36:07Z,https://api.github.com/repos/joaoblasques/e-commerce-analytics-platform,1021396178.0,https://github.com/joaoblasques/e-commerce-analytics-platform/pull/21,Claude_Code,672359e3635cd4b4696e2c9546ff281792dfdd3f,04fd2a14d8372704774d92fb3b7c0d7147f15bd1,1183,82,1,54,1,0,0,0,336,0,0,0,assert_used_LOW,136,blacklist_LOW,32,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,joaoblasques/e-commerce-analytics-platform
3270505817,74,joaoblasques,1001327,closed,2025-07-28T16:07:40Z,2025-07-28T16:12:46Z,2025-07-28T16:12:46Z,https://api.github.com/repos/joaoblasques/e-commerce-analytics-platform,1021396178.0,https://github.com/joaoblasques/e-commerce-analytics-platform/pull/74,Claude_Code,9bc60269119db30abc581dc2cd2189d1632eabf0,f5ce07b75c83cdfec8c2c4b2f3813c3e2e478a48,3023,344,4,483,26,0,0,0,286,0,1,0,assert_used_LOW,142,hardcoded_password_string_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-value-for-parameter,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,joaoblasques/e-commerce-analytics-platform
3240194818,9,joaoblasques,1001327,closed,2025-07-17T16:31:32Z,2025-07-18T10:08:13Z,2025-07-18T10:08:13Z,https://api.github.com/repos/joaoblasques/e-commerce-analytics-platform,1021396178.0,https://github.com/joaoblasques/e-commerce-analytics-platform/pull/9,Claude_Code,71f3b7072e805277799d033c3eb483e1c4670b37,492ef1a8c2aaf4df1f508048d1d0fdbba4fe431a,375,36,0,6,0,0,0,2,138,0,0,0,assert_used_LOW,69,exec_used_MEDIUM,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,joaoblasques/e-commerce-analytics-platform
3240259627,10,joaoblasques,1001327,closed,2025-07-17T16:53:05Z,2025-07-17T16:56:58Z,2025-07-17T16:56:58Z,https://api.github.com/repos/joaoblasques/e-commerce-analytics-platform,1021396178.0,https://github.com/joaoblasques/e-commerce-analytics-platform/pull/10,Claude_Code,a8d2e28ba6107d4cd5e9f5e5f0e59c5d6361be0b,277dd3b207ce6bad84dc13f15bfd7ed44364bfff,315,34,1,47,3,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,joaoblasques/e-commerce-analytics-platform
3256550125,55,joaoblasques,1001327,closed,2025-07-23T14:08:47Z,2025-07-23T14:08:53Z,2025-07-23T14:08:53Z,https://api.github.com/repos/joaoblasques/e-commerce-analytics-platform,1021396178.0,https://github.com/joaoblasques/e-commerce-analytics-platform/pull/55,Claude_Code,03f7f53168650f678f19c5bc85fc5ec0f35d4d80,58dde97efaaa3df5d47c4cb88d56f369784b5e58,3792,167,0,92,1,0,0,0,180,0,0,0,assert_used_LOW,90,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,joaoblasques/e-commerce-analytics-platform
