id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3170001480,5,norrisaftcc,15367101,closed,2025-06-24T02:24:41Z,2025-06-24T02:34:02Z,2025-06-24T02:34:02Z,https://api.github.com/repos/norrisaftcc/tool-swarmrouter,1007380708.0,https://github.com/norrisaftcc/tool-swarmrouter/pull/5,Claude_Code,6cbbb35475fda82f948cba86bde8bdd1b6dc84f9,275cc4ce0e19365565d4bcc96b03f10e3cae1dbc,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,norrisaftcc/tool-swarmrouter
3172072555,10,Copilot,198982749,closed,2025-06-24T13:44:40Z,2025-06-24T16:16:37Z,2025-06-24T16:16:37Z,https://api.github.com/repos/norrisaftcc/tool-swarmrouter,1007380708.0,https://github.com/norrisaftcc/tool-swarmrouter/pull/10,Copilot,bca48844b705b258b6a14cc4dce0ad435bb2d7c2,8a4e6ed487b7dd1d7c55242893034f19eeb7755a,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,norrisaftcc/tool-swarmrouter
3172456925,11,Copilot,198982749,closed,2025-06-24T15:37:05Z,2025-06-24T16:15:35Z,2025-06-24T16:15:34Z,https://api.github.com/repos/norrisaftcc/tool-swarmrouter,1007380708.0,https://github.com/norrisaftcc/tool-swarmrouter/pull/11,Copilot,201e856ccbfc2416d22c6490a06743d83fb37319,ddcc2f899a95f565b45c588f4c6d6c4341d77ca9,1109,97,0,76,2,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,norrisaftcc/tool-swarmrouter
3173078046,15,Copilot,198982749,closed,2025-06-24T19:36:54Z,2025-06-25T00:01:49Z,2025-06-25T00:01:49Z,https://api.github.com/repos/norrisaftcc/tool-swarmrouter,1007380708.0,https://github.com/norrisaftcc/tool-swarmrouter/pull/15,Copilot,75206c9b3d1a2049753148d22b8e5030ed513e87,1c1157aa716fd0ba643eba88ee73175ffdb78c6a,28,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,norrisaftcc/tool-swarmrouter
3169673994,1,Copilot,198982749,closed,2025-06-23T22:59:00Z,2025-06-24T16:19:51Z,2025-06-24T16:19:51Z,https://api.github.com/repos/norrisaftcc/tool-swarmrouter,1007380708.0,https://github.com/norrisaftcc/tool-swarmrouter/pull/1,Copilot,455171272f566e3db0460e4c397978abc74fc559,a60b56bc2820bb4d51adae5bee397f66fcbaa11c,1414,151,2,135,5,0,0,2,0,0,0,0,hardcoded_bind_all_interfaces_MEDIUM,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,norrisaftcc/tool-swarmrouter
3169682025,2,Copilot,198982749,closed,2025-06-23T23:02:25Z,2025-06-24T15:59:12Z,2025-06-24T15:59:12Z,https://api.github.com/repos/norrisaftcc/tool-swarmrouter,1007380708.0,https://github.com/norrisaftcc/tool-swarmrouter/pull/2,Copilot,90f6788f809500e491ddcfccaa788e8c4abff73a,05c88647360076cecd577c9326cbafc93d12d69b,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,norrisaftcc/tool-swarmrouter
3173772768,24,Copilot,198982749,open,2025-06-25T01:40:00Z,,,https://api.github.com/repos/norrisaftcc/tool-swarmrouter,1007380708.0,https://github.com/norrisaftcc/tool-swarmrouter/pull/24,Copilot,5587d806a00ea2f948e32b2122a3c78c8a9eb043,06b57ce812f5047833b29624fce67a03c6bf755a,897,70,0,49,1,0,0,0,138,0,0,0,assert_used_LOW,69,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,norrisaftcc/tool-swarmrouter
3173778480,25,Copilot,198982749,open,2025-06-25T01:44:32Z,,,https://api.github.com/repos/norrisaftcc/tool-swarmrouter,1007380708.0,https://github.com/norrisaftcc/tool-swarmrouter/pull/25,Copilot,5587d806a00ea2f948e32b2122a3c78c8a9eb043,295832de72db0da588c57568a1beced76d0bfb80,443,35,0,18,0,0,0,2,0,0,2,0,hardcoded_bind_all_interfaces_MEDIUM,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-self-argument,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,norrisaftcc/tool-swarmrouter
3173807662,30,Copilot,198982749,open,2025-06-25T02:05:37Z,,,https://api.github.com/repos/norrisaftcc/tool-swarmrouter,1007380708.0,https://github.com/norrisaftcc/tool-swarmrouter/pull/30,Copilot,5587d806a00ea2f948e32b2122a3c78c8a9eb043,beac552ff386a517bbcf574c1f931ca170e429b5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,norrisaftcc/tool-swarmrouter
3173839701,31,Copilot,198982749,open,2025-06-25T02:22:16Z,,,https://api.github.com/repos/norrisaftcc/tool-swarmrouter,1007380708.0,https://github.com/norrisaftcc/tool-swarmrouter/pull/31,Copilot,5587d806a00ea2f948e32b2122a3c78c8a9eb043,b905e0c692ccde9adff513e3d4e5919aba3224be,942,58,0,49,2,0,0,2,0,0,0,0,hardcoded_bind_all_interfaces_MEDIUM,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,norrisaftcc/tool-swarmrouter
