id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3246680171,386,max-sixty,5635139,closed,2025-07-20T20:44:44Z,2025-07-20T20:47:58Z,2025-07-20T20:47:58Z,https://api.github.com/repos/numbagg/numbagg,25501620.0,https://github.com/numbagg/numbagg/pull/386,Claude_Code,5da5c56eb83961cd536cc8a6613eecddeb24d999,8382774ef0824b4476c0bb37284404dc3abb89d4,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,numbagg/numbagg
3246681942,387,max-sixty,5635139,closed,2025-07-20T20:45:38Z,2025-07-20T21:41:12Z,2025-07-20T21:41:12Z,https://api.github.com/repos/numbagg/numbagg,25501620.0,https://github.com/numbagg/numbagg/pull/387,Claude_Code,5da5c56eb83961cd536cc8a6613eecddeb24d999,11242cf3fe0294cbb069ac6b24f2eb796c9f7f9d,3,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,numbagg/numbagg
3246684833,388,max-sixty,5635139,closed,2025-07-20T20:48:50Z,2025-07-20T21:36:10Z,2025-07-20T21:36:10Z,https://api.github.com/repos/numbagg/numbagg,25501620.0,https://github.com/numbagg/numbagg/pull/388,Claude_Code,ac632052a73424145d79160c546b41b3884658f6,7d9837b2be950ea85603bccba1775fe083edf851,425,68,3,184,3,0,0,0,-30,0,-52,0,N/A,0,N/A,0,N/A,0,assert_used_LOW,15,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-value-for-parameter,28,error_unsubscriptable-object,20,error_unexpected-keyword-arg,4,Python,numbagg/numbagg
3246764807,390,max-sixty,5635139,closed,2025-07-20T23:05:04Z,2025-07-20T23:40:21Z,2025-07-20T23:40:21Z,https://api.github.com/repos/numbagg/numbagg,25501620.0,https://github.com/numbagg/numbagg/pull/390,Claude_Code,54c6a9350342e2679293b276bda2627f1dd35e6d,949d3f591a5383873f5882df0290efa279f49d1d,1003,68,1,95,2,0,0,0,84,0,130,0,assert_used_LOW,42,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-value-for-parameter,88,error_unsubscriptable-object,42,N/A,0,N/A,0,N/A,0,N/A,0,Python,numbagg/numbagg
3246796582,391,max-sixty,5635139,closed,2025-07-20T23:54:15Z,2025-07-20T23:57:18Z,2025-07-20T23:57:18Z,https://api.github.com/repos/numbagg/numbagg,25501620.0,https://github.com/numbagg/numbagg/pull/391,Claude_Code,16488e826e328af4240f28e724f76d219b2deea4,d0f0a2b76918af1f26c430034c03bdb45624441d,-24,-6,-1,-33,0,0,0,0,4,0,0,0,assert_used_LOW,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,numbagg/numbagg
3250173556,393,max-sixty,5635139,closed,2025-07-21T22:10:53Z,2025-07-22T00:51:53Z,2025-07-22T00:51:53Z,https://api.github.com/repos/numbagg/numbagg,25501620.0,https://github.com/numbagg/numbagg/pull/393,Claude_Code,8c2c2f07490a8e3ab97edb7e726c773f35ea5fbf,cdfcac7625e519e34d007bef0ed791910130c76e,210,23,1,89,1,0,0,-2,0,0,0,0,N/A,0,N/A,0,N/A,0,blacklist_MEDIUM,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,numbagg/numbagg
3250200794,394,max-sixty,5635139,closed,2025-07-21T22:25:43Z,2025-07-21T22:29:10Z,2025-07-21T22:29:10Z,https://api.github.com/repos/numbagg/numbagg,25501620.0,https://github.com/numbagg/numbagg/pull/394,Claude_Code,2dbf79996cb3536db911bed4eb897a226ee35ca3,902efeb459e447fc4faf068af991ea5cada01b51,-173,-19,0,-9,0,0,0,0,-34,0,-66,0,N/A,0,N/A,0,N/A,0,assert_used_LOW,17,N/A,0,N/A,0,N/A,0,N/A,0,error_unexpected-keyword-arg,3,N/A,0,N/A,0,error_no-value-for-parameter,44,error_unsubscriptable-object,25,N/A,0,Python,numbagg/numbagg
3250272016,396,max-sixty,5635139,closed,2025-07-21T22:58:47Z,2025-07-21T23:32:28Z,2025-07-21T23:32:28Z,https://api.github.com/repos/numbagg/numbagg,25501620.0,https://github.com/numbagg/numbagg/pull/396,Claude_Code,f9f9e8582652d6fc99ca8575d32d84483295a33c,f62f891ffcb710c7ca16e3b3c968f4cf0a22f59b,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,numbagg/numbagg
3250477735,397,max-sixty,5635139,closed,2025-07-22T00:19:55Z,2025-07-22T00:28:17Z,2025-07-22T00:28:17Z,https://api.github.com/repos/numbagg/numbagg,25501620.0,https://github.com/numbagg/numbagg/pull/397,Claude_Code,ec136685bf20891b417b4865246182a010800fa5,d76640d61214d7d9770d8cbecbf90460230ad81c,17,2,0,-6,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,numbagg/numbagg
3241545126,384,max-sixty,5635139,closed,2025-07-18T01:43:12Z,2025-07-18T07:22:55Z,2025-07-18T07:22:55Z,https://api.github.com/repos/numbagg/numbagg,25501620.0,https://github.com/numbagg/numbagg/pull/384,Claude_Code,526ff843f64754712eca4e4f9b137cc6c99317e9,33291e55a1d1ac1462702e794e0a5236af6c2078,567,60,1,94,4,0,0,0,80,0,59,0,assert_used_LOW,40,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-value-for-parameter,32,error_unsubscriptable-object,23,error_unexpected-keyword-arg,4,N/A,0,N/A,0,N/A,0,Python,numbagg/numbagg
