id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3218011905,453,plusplusoneplusplus,1164549,closed,2025-07-10T05:59:29Z,2025-07-10T06:04:25Z,2025-07-10T06:04:25Z,https://api.github.com/repos/plusplusoneplusplus/mcp,953838987.0,https://github.com/plusplusoneplusplus/mcp/pull/453,Claude_Code,b65ed62706cf526e5a0bfb09a6330387065d1e40,e7c12b91987d69c7cff52370292c2c0ca4511861,309,33,0,3,0,0,0,0,58,0,1,0,assert_used_LOW,29,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_unexpected-keyword-arg,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,plusplusoneplusplus/mcp
3138779032,259,tcauth,11341470,closed,2025-06-12T04:10:21Z,2025-06-12T04:24:30Z,2025-06-12T04:24:30Z,https://api.github.com/repos/plusplusoneplusplus/mcp,953838987.0,https://github.com/plusplusoneplusplus/mcp/pull/259,OpenAI_Codex,584d13b535dc4f4e5e6e900f496c483f2c6b0bcf,63d10cfc147de696428f96996107a1767a23d0cb,39,6,0,3,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,plusplusoneplusplus/mcp
3150483207,309,plusplusoneplusplus,1164549,closed,2025-06-16T15:47:02Z,2025-06-16T15:53:13Z,2025-06-16T15:53:13Z,https://api.github.com/repos/plusplusoneplusplus/mcp,953838987.0,https://github.com/plusplusoneplusplus/mcp/pull/309,OpenAI_Codex,fe0ffa65e10d5ae6065399c270e9792c3f10a37e,d0591a7c0b5eefc0377c99e383dc5e29b91cc799,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,plusplusoneplusplus/mcp
3145598722,297,plusplusoneplusplus,1164549,closed,2025-06-14T06:56:38Z,2025-06-14T13:20:06Z,2025-06-14T13:20:06Z,https://api.github.com/repos/plusplusoneplusplus/mcp,953838987.0,https://github.com/plusplusoneplusplus/mcp/pull/297,OpenAI_Codex,4180523ff0237618ef8ca4404316dadf16f42d49,b6d5ca7493cf5b87928b024b3940247c7d4cc1f6,17,-4,0,0,0,0,0,0,-88,0,0,0,N/A,0,N/A,0,N/A,0,assert_used_LOW,44,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,plusplusoneplusplus/mcp
3126148049,65,plusplusoneplusplus,1164549,closed,2025-06-07T00:13:13Z,2025-06-07T02:34:53Z,2025-06-07T02:34:53Z,https://api.github.com/repos/plusplusoneplusplus/mcp,953838987.0,https://github.com/plusplusoneplusplus/mcp/pull/65,OpenAI_Codex,6f8b649561c4c019f454bc94cf760ef81f672bbb,52f2b45d0e83207673d2c37f23e391d0dd6312c5,102,12,0,3,0,0,0,0,24,0,0,0,assert_used_LOW,12,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,plusplusoneplusplus/mcp
3126151945,66,plusplusoneplusplus,1164549,closed,2025-06-07T00:15:11Z,2025-06-07T00:16:10Z,,https://api.github.com/repos/plusplusoneplusplus/mcp,953838987.0,https://github.com/plusplusoneplusplus/mcp/pull/66,OpenAI_Codex,6f8b649561c4c019f454bc94cf760ef81f672bbb,9122e4c24aea8a584614e8a657986195413f7c60,129,26,0,23,0,0,0,6,20,0,0,0,assert_used_LOW,10,request_without_timeout_MEDIUM,3,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,plusplusoneplusplus/mcp
3126426023,67,plusplusoneplusplus,1164549,closed,2025-06-07T04:21:25Z,2025-06-07T04:41:54Z,2025-06-07T04:41:54Z,https://api.github.com/repos/plusplusoneplusplus/mcp,953838987.0,https://github.com/plusplusoneplusplus/mcp/pull/67,OpenAI_Codex,d6051f2f60ee3ab35f0e3bc17c63bd15b072175e,8291d3f4134ff19a37e1be052488b330597d6ba3,143,22,0,0,0,0,0,0,28,0,0,0,assert_used_LOW,14,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,plusplusoneplusplus/mcp
3126444359,68,plusplusoneplusplus,1164549,closed,2025-06-07T04:41:04Z,2025-06-07T04:56:30Z,2025-06-07T04:56:30Z,https://api.github.com/repos/plusplusoneplusplus/mcp,953838987.0,https://github.com/plusplusoneplusplus/mcp/pull/68,OpenAI_Codex,d6051f2f60ee3ab35f0e3bc17c63bd15b072175e,889ee7fb86101b28381103afa0071309902f9820,52,6,0,17,1,0,0,0,-4,0,0,0,N/A,0,N/A,0,N/A,0,assert_used_LOW,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,plusplusoneplusplus/mcp
3126468226,72,plusplusoneplusplus,1164549,closed,2025-06-07T05:09:54Z,2025-06-07T05:16:24Z,2025-06-07T05:16:24Z,https://api.github.com/repos/plusplusoneplusplus/mcp,953838987.0,https://github.com/plusplusoneplusplus/mcp/pull/72,OpenAI_Codex,435e13a4d734aab0841fc8a76c6591045a3813eb,96e12064f29aa18b27e11c0c0e6c7b6456414863,79,6,0,0,0,0,0,0,14,0,0,0,assert_used_LOW,7,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,plusplusoneplusplus/mcp
3151663180,310,tcauth,11341470,closed,2025-06-17T00:21:46Z,2025-06-17T04:42:05Z,2025-06-17T04:42:05Z,https://api.github.com/repos/plusplusoneplusplus/mcp,953838987.0,https://github.com/plusplusoneplusplus/mcp/pull/310,OpenAI_Codex,64ef132c24ebc58887a14d146ba388d3708bccda,968d161365751cdce6f39b4a8fb02f2d45725366,166,26,0,18,0,0,0,0,16,0,0,0,assert_used_LOW,4,blacklist_LOW,2,subprocess_without_shell_equals_true_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,plusplusoneplusplus/mcp
