id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3179981326,19,sserada,104222305,closed,2025-06-26T18:25:56Z,2025-06-26T18:26:03Z,2025-06-26T18:26:03Z,https://api.github.com/repos/project-cacaum/XPostPlanner,1008975786.0,https://github.com/project-cacaum/XPostPlanner/pull/19,Claude_Code,a452b788afa90445f488649d29568406b471bf53,3c178759f2b2842d8d226964f763fddeddc382ab,11,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,project-cacaum/XPostPlanner
3179999885,21,sserada,104222305,closed,2025-06-26T18:33:50Z,2025-06-26T18:33:59Z,2025-06-26T18:33:59Z,https://api.github.com/repos/project-cacaum/XPostPlanner,1008975786.0,https://github.com/project-cacaum/XPostPlanner/pull/21,Claude_Code,c249129ab3f7d17f5ef2aa0058d1dadf0ae9f03d,3331185d84371fc25be85d81cd919dc2733db627,21,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,project-cacaum/XPostPlanner
3178898272,3,sserada,104222305,closed,2025-06-26T12:05:22Z,2025-06-26T12:05:29Z,2025-06-26T12:05:29Z,https://api.github.com/repos/project-cacaum/XPostPlanner,1008975786.0,https://github.com/project-cacaum/XPostPlanner/pull/3,Claude_Code,85b140270eb5c5c202e375105fed50f0654a3ce2,8284f6c9b9d31b1f973c72e2ccaa59dfc5ffcf89,487,71,0,31,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,project-cacaum/XPostPlanner
3178933721,5,sserada,104222305,closed,2025-06-26T12:17:07Z,2025-06-26T12:17:14Z,2025-06-26T12:17:14Z,https://api.github.com/repos/project-cacaum/XPostPlanner,1008975786.0,https://github.com/project-cacaum/XPostPlanner/pull/5,Claude_Code,954cc2d40026a16496a4cfcbb4aaa725edbe760e,31f3b3ab0c5ea25d0a38d45f8c22ad751eb28f60,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,project-cacaum/XPostPlanner
3178974144,7,sserada,104222305,closed,2025-06-26T12:31:23Z,2025-06-26T12:31:30Z,2025-06-26T12:31:30Z,https://api.github.com/repos/project-cacaum/XPostPlanner,1008975786.0,https://github.com/project-cacaum/XPostPlanner/pull/7,Claude_Code,295d96ce82feaec5fed68435b3fd6c7babaed1f6,0060560efbf3de63bfc0bac74b2293393620a8fc,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,project-cacaum/XPostPlanner
3178984653,9,sserada,104222305,closed,2025-06-26T12:35:07Z,2025-06-26T12:35:13Z,2025-06-26T12:35:13Z,https://api.github.com/repos/project-cacaum/XPostPlanner,1008975786.0,https://github.com/project-cacaum/XPostPlanner/pull/9,Claude_Code,b9d3257537f2b4f6332756048cd7d152a1ba06e9,43ed43d0867af323fa421090e6606eef3f8d2007,-1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,project-cacaum/XPostPlanner
3179011959,12,sserada,104222305,closed,2025-06-26T12:44:33Z,2025-06-26T12:44:39Z,2025-06-26T12:44:39Z,https://api.github.com/repos/project-cacaum/XPostPlanner,1008975786.0,https://github.com/project-cacaum/XPostPlanner/pull/12,Claude_Code,c48852459ea00ac9ae530f38cc9810a6eae9e62f,0c41ec178bff922bf2cd2a7c3e0743eb539fcc7d,53,1,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,project-cacaum/XPostPlanner
3179013589,13,sserada,104222305,closed,2025-06-26T12:45:08Z,2025-06-26T12:45:20Z,,https://api.github.com/repos/project-cacaum/XPostPlanner,1008975786.0,https://github.com/project-cacaum/XPostPlanner/pull/13,Claude_Code,f669c2a59a4e6a189ce4e297f47346a55ddc723c,1dbdf4938539767ba51b5db46fb2236faff93430,67,12,1,26,1,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,project-cacaum/XPostPlanner
3179026969,15,sserada,104222305,closed,2025-06-26T12:49:34Z,2025-06-26T12:49:39Z,2025-06-26T12:49:39Z,https://api.github.com/repos/project-cacaum/XPostPlanner,1008975786.0,https://github.com/project-cacaum/XPostPlanner/pull/15,Claude_Code,f669c2a59a4e6a189ce4e297f47346a55ddc723c,ccd7d8b41a20c65823fce1c008dc5775375a5d5d,119,13,1,26,1,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,project-cacaum/XPostPlanner
3179943687,17,sserada,104222305,closed,2025-06-26T18:13:40Z,2025-06-26T18:13:48Z,2025-06-26T18:13:48Z,https://api.github.com/repos/project-cacaum/XPostPlanner,1008975786.0,https://github.com/project-cacaum/XPostPlanner/pull/17,Claude_Code,4cdb4184ecee6ad7d723525bed7de435f8f0d058,92d7ecf6e368754a95a002b643c5646b2da2ed7b,261,33,1,40,3,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,project-cacaum/XPostPlanner
