id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3094346101,25,vwieczorek,733450,closed,2025-05-27T15:27:11Z,2025-06-11T12:56:05Z,,https://api.github.com/repos/vwieczorek/civicforge,986058610.0,https://github.com/vwieczorek/civicforge/pull/25,Claude_Code,b83648696c9e5879a2404281b9085d5ba47ccd40,11c829276efc2efd631624046be7a488173840fe,6041,558,9,573,15,0,0,146,178,0,0,0,assert_used_LOW,88,request_without_timeout_MEDIUM,68,blacklist_MEDIUM,4,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,vwieczorek/civicforge
3072440475,1,vwieczorek,733450,closed,2025-05-19T04:15:36Z,2025-05-19T04:16:13Z,2025-05-19T04:16:13Z,https://api.github.com/repos/vwieczorek/civicforge,986058610.0,https://github.com/vwieczorek/civicforge/pull/1,OpenAI_Codex,0d41ccea29fd5d7f33ee6466940f8a403f63dbc4,d41afbd80593eac9636ce378f767b89bed23d3fa,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,vwieczorek/civicforge
3073192260,2,vwieczorek,733450,closed,2025-05-19T09:35:52Z,2025-05-19T18:57:28Z,,https://api.github.com/repos/vwieczorek/civicforge,986058610.0,https://github.com/vwieczorek/civicforge/pull/2,OpenAI_Codex,1d84d3e5773c7f86fe541f060c5589f8855b85be,3c1a44c29e1c5d48fd3ee2e76f30432ff36fad38,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,vwieczorek/civicforge
3082893148,10,vwieczorek,733450,closed,2025-05-22T10:31:35Z,2025-05-22T10:31:48Z,2025-05-22T10:31:48Z,https://api.github.com/repos/vwieczorek/civicforge,986058610.0,https://github.com/vwieczorek/civicforge/pull/10,OpenAI_Codex,2e95fca9e229dd45f0e4c4af9a499808a67bb042,ccea553623b7fff0e5cf10487c4bc1a880fa981f,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,vwieczorek/civicforge
3081896163,4,vwieczorek,733450,closed,2025-05-22T03:05:19Z,2025-05-22T03:05:30Z,2025-05-22T03:05:30Z,https://api.github.com/repos/vwieczorek/civicforge,986058610.0,https://github.com/vwieczorek/civicforge/pull/4,OpenAI_Codex,7a1b1efadc457677cdfb9d3f6b6191918d80cad1,ffaaa9c216d824689d52d8049995974caee3a65f,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,vwieczorek/civicforge
3082829476,7,vwieczorek,733450,closed,2025-05-22T10:09:24Z,2025-05-22T10:09:54Z,2025-05-22T10:09:54Z,https://api.github.com/repos/vwieczorek/civicforge,986058610.0,https://github.com/vwieczorek/civicforge/pull/7,OpenAI_Codex,5fdf671a3d69b125d887ee90c2c9d4e8c1e25e21,199bce22684e859d74c1d6e5bef19020a71baa0c,156,20,1,17,2,0,0,0,8,0,0,0,assert_used_LOW,4,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,vwieczorek/civicforge
3082862801,8,vwieczorek,733450,closed,2025-05-22T10:20:23Z,2025-05-22T10:21:25Z,2025-05-22T10:21:25Z,https://api.github.com/repos/vwieczorek/civicforge,986058610.0,https://github.com/vwieczorek/civicforge/pull/8,OpenAI_Codex,2ecbfce0148b63fcc86800cf7aaca0c7096ca1be,5d9057ef1a86d1f8064d085b45138e8dc7c5b312,51,5,0,5,0,0,0,0,4,0,0,0,assert_used_LOW,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,vwieczorek/civicforge
3082876453,9,vwieczorek,733450,closed,2025-05-22T10:25:34Z,2025-05-22T10:25:47Z,2025-05-22T10:25:47Z,https://api.github.com/repos/vwieczorek/civicforge,986058610.0,https://github.com/vwieczorek/civicforge/pull/9,OpenAI_Codex,7a52cc3d83387cb0423c3bf61777598673f0d413,a51fd36349672afba0dec49683863410453438fc,43,5,0,2,0,0,0,0,2,0,0,0,try_except_pass_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,vwieczorek/civicforge
3081901830,5,vwieczorek,733450,closed,2025-05-22T03:10:14Z,2025-05-22T03:10:30Z,2025-05-22T03:10:29Z,https://api.github.com/repos/vwieczorek/civicforge,986058610.0,https://github.com/vwieczorek/civicforge/pull/5,OpenAI_Codex,347f39afb0564d43815bc1fe6e1e0dad390daac1,f0916c45d1d592671454751f937437f5fe1702a2,156,7,0,0,0,0,0,0,2,0,0,0,assert_used_LOW,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,vwieczorek/civicforge
3082768926,6,vwieczorek,733450,closed,2025-05-22T09:52:07Z,2025-05-22T09:52:27Z,2025-05-22T09:52:27Z,https://api.github.com/repos/vwieczorek/civicforge,986058610.0,https://github.com/vwieczorek/civicforge/pull/6,OpenAI_Codex,a7891a4ebe03eddfd68dd4e484b04635e7b6144c,2dc7ed988689ebc69406cfa6b40261e34052b1c6,294,25,0,15,0,0,0,0,6,0,0,0,assert_used_LOW,3,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,vwieczorek/civicforge
