id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3230705500,200,williaby,67131297,closed,2025-07-15T04:22:19Z,2025-07-15T04:33:23Z,2025-07-15T04:33:23Z,https://api.github.com/repos/williaby/PromptCraft,995637467.0,https://github.com/williaby/PromptCraft/pull/200,Claude_Code,ce2c75a9bddf529120975ef5b15158d2621a5ec0,ab399e827eb7e92892407a3829e764dc982cab3f,4,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,williaby/PromptCraft
3233240539,203,williaby,67131297,closed,2025-07-15T18:08:51Z,2025-07-15T18:15:05Z,,https://api.github.com/repos/williaby/PromptCraft,995637467.0,https://github.com/williaby/PromptCraft/pull/203,Claude_Code,c613e1c6d7bb1aaab467f8cabfd150cfdb1b4f70,23e265f4440fb5fa03ca1f4369b2da4be7128d4e,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,williaby/PromptCraft
3214956329,170,williaby,67131297,closed,2025-07-09T08:08:18Z,2025-07-09T08:14:36Z,,https://api.github.com/repos/williaby/PromptCraft,995637467.0,https://github.com/williaby/PromptCraft/pull/170,Claude_Code,4d9c5b2cde6a20a4583d13df15549bd35340ddb8,9ab16c88feaaf92848614d1d45405bbe6d943777,-2326,-300,-1,-130,-2,0,0,0,-546,0,0,0,N/A,0,N/A,0,N/A,0,assert_used_LOW,273,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,williaby/PromptCraft
3216274135,174,williaby,67131297,closed,2025-07-09T15:09:16Z,2025-07-09T17:55:28Z,2025-07-09T17:55:28Z,https://api.github.com/repos/williaby/PromptCraft,995637467.0,https://github.com/williaby/PromptCraft/pull/174,Claude_Code,d5577936065953b76788d56f26f3f4edd0b47eed,0a79335f5332a676dc0dd22604a03e0e2b65f4c5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,williaby/PromptCraft
3200254918,10,williaby,67131297,closed,2025-07-03T18:21:27Z,2025-07-03T18:38:17Z,2025-07-03T18:38:17Z,https://api.github.com/repos/williaby/PromptCraft,995637467.0,https://github.com/williaby/PromptCraft/pull/10,Claude_Code,cf0c8b798bd0037d6ab055199456a06217312d46,6f6ab3b4f0bee09397caa776c3d3a392ee64d5af,313,50,0,34,1,0,0,0,14,0,0,0,subprocess_without_shell_equals_true_LOW,3,blacklist_LOW,2,start_process_with_partial_path_LOW,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,williaby/PromptCraft
3203985620,149,williaby,67131297,closed,2025-07-05T01:03:18Z,2025-07-06T02:24:18Z,2025-07-06T02:24:18Z,https://api.github.com/repos/williaby/PromptCraft,995637467.0,https://github.com/williaby/PromptCraft/pull/149,Claude_Code,a3c9da20a40059651a397697ae66c547cb406123,4efbc6c650233a9cbfdd143205b0379dd334a81b,2223,225,2,175,6,0,0,0,250,0,0,0,assert_used_LOW,118,hardcoded_password_funcarg_LOW,7,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,williaby/PromptCraft
3205030084,151,williaby,67131297,closed,2025-07-05T14:30:48Z,2025-07-07T02:35:11Z,2025-07-07T02:35:11Z,https://api.github.com/repos/williaby/PromptCraft,995637467.0,https://github.com/williaby/PromptCraft/pull/151,Claude_Code,662437cac6d2ea558aa6fac8331910b95d486f4a,f950c044784a5d04fb8fbff1411a444351352619,1869,145,0,54,1,0,0,4,392,0,0,0,assert_used_LOW,196,hardcoded_bind_all_interfaces_MEDIUM,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,williaby/PromptCraft
3205036797,152,williaby,67131297,closed,2025-07-05T14:37:28Z,2025-07-06T20:11:41Z,2025-07-06T20:11:41Z,https://api.github.com/repos/williaby/PromptCraft,995637467.0,https://github.com/williaby/PromptCraft/pull/152,Claude_Code,662437cac6d2ea558aa6fac8331910b95d486f4a,79ae72d84981ec74cdf40c3424f549219a37fed3,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,williaby/PromptCraft
3205080560,153,williaby,67131297,closed,2025-07-05T15:16:10Z,2025-07-06T17:31:14Z,2025-07-06T17:31:14Z,https://api.github.com/repos/williaby/PromptCraft,995637467.0,https://github.com/williaby/PromptCraft/pull/153,Claude_Code,32b734ea038848425124cc253c5d45ce8372b3b3,10f86c775d01e71020c62db71b692297afb138ac,638,48,0,36,2,0,0,2,0,0,0,0,hardcoded_bind_all_interfaces_MEDIUM,1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,williaby/PromptCraft
3205717046,154,williaby,67131297,closed,2025-07-05T22:29:46Z,2025-07-06T02:00:28Z,,https://api.github.com/repos/williaby/PromptCraft,995637467.0,https://github.com/williaby/PromptCraft/pull/154,Claude_Code,a3c9da20a40059651a397697ae66c547cb406123,14a52056de3b17667dd6aeb36fa1d4cde547512d,2500,261,2,211,8,0,0,0,300,0,0,0,assert_used_LOW,135,hardcoded_password_funcarg_LOW,7,subprocess_without_shell_equals_true_LOW,4,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,williaby/PromptCraft
