id,number,user,user_id,state,created_at,closed_at,merged_at,repo_url,repo_id,html_url,agent,base_sha,head_sha,delta_loc,delta_cyclomatic_sum,delta_over_cyclomatic_count,delta_cognitive_sum,delta_over_cognitive_count,delta_security_syntax_errors,delta_security_severity_high,delta_security_severity_medium,delta_security_severity_low,delta_general_fatal,delta_general_error,delta_general_warning,new_security_top_1_error,new_security_top_1_error_count,new_security_top_2_error,new_security_top_2_error_count,new_security_top_3_error,new_security_top_3_error_count,removed_security_top_1_error,removed_security_top_1_error_count,removed_security_top_2_error,removed_security_top_2_error_count,removed_security_top_3_error,removed_security_top_3_error_count,new_security_high_sev_top_1_error,new_security_high_sev_top_1_error_count,removed_security_high_sev_top_1_error,removed_security_high_sev_top_1_error_count,new_general_top_1_error,new_general_top_1_error_count,new_general_top_2_error,new_general_top_2_error_count,new_general_top_3_error,new_general_top_3_error_count,removed_general_top_1_error,removed_general_top_1_error_count,removed_general_top_2_error,removed_general_top_2_error_count,removed_general_top_3_error,removed_general_top_3_error_count,repo_language,repo_full_name
3203078942,13,x81k25,171736430,closed,2025-07-04T15:11:24Z,2025-07-04T15:11:32Z,2025-07-04T15:11:32Z,https://api.github.com/repos/x81k25/rear-differential,983824801.0,https://github.com/x81k25/rear-differential/pull/13,Claude_Code,25f115ea6ddea045a75202ffb3a6c9f40386e06e,52fc57ebaff12c39030d87f32be3ff9230261ceb,586,35,1,65,3,0,0,12,0,0,12,0,hardcoded_sql_expressions_MEDIUM,6,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-self-argument,10,error_function-redefined,2,N/A,0,N/A,0,N/A,0,N/A,0,Python,x81k25/rear-differential
3203082534,14,x81k25,171736430,closed,2025-07-04T15:12:46Z,2025-07-04T15:12:53Z,2025-07-04T15:12:53Z,https://api.github.com/repos/x81k25/rear-differential,983824801.0,https://github.com/x81k25/rear-differential/pull/14,Claude_Code,f4d55f7f9e32c7f0448f747df4e417e95b58f5ad,847ee23dc691b5ae61b5e6f971d6841ada709b27,586,35,1,65,3,0,0,12,0,0,12,0,hardcoded_sql_expressions_MEDIUM,6,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-self-argument,10,error_function-redefined,2,N/A,0,N/A,0,N/A,0,N/A,0,Python,x81k25/rear-differential
3203235456,15,x81k25,171736430,closed,2025-07-04T16:21:27Z,2025-07-04T16:21:42Z,2025-07-04T16:21:42Z,https://api.github.com/repos/x81k25/rear-differential,983824801.0,https://github.com/x81k25/rear-differential/pull/15,Claude_Code,847ee23dc691b5ae61b5e6f971d6841ada709b27,fbec4d4a4937da7d6e84cda2dc1f2e9664fa2acc,-57,16,0,-12,-1,0,0,-6,0,0,-2,0,N/A,0,N/A,0,N/A,0,hardcoded_sql_expressions_MEDIUM,3,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_function-redefined,2,N/A,0,N/A,0,Python,x81k25/rear-differential
3203236079,16,x81k25,171736430,closed,2025-07-04T16:21:53Z,2025-07-04T16:22:59Z,2025-07-04T16:22:59Z,https://api.github.com/repos/x81k25/rear-differential,983824801.0,https://github.com/x81k25/rear-differential/pull/16,Claude_Code,6b4394175b5d9a945229d8abe1534123dc262523,74580aca41f438261eb6cdca5c2608fe84bc138d,-57,16,0,-12,-1,0,0,-6,0,0,-2,0,N/A,0,N/A,0,N/A,0,hardcoded_sql_expressions_MEDIUM,3,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_function-redefined,2,N/A,0,N/A,0,Python,x81k25/rear-differential
3205944193,25,x81k25,171736430,closed,2025-07-06T02:38:15Z,2025-07-06T02:41:18Z,2025-07-06T02:41:18Z,https://api.github.com/repos/x81k25/rear-differential,983824801.0,https://github.com/x81k25/rear-differential/pull/25,Claude_Code,f9153afbb012af1e975eebef050868d2bde7ec12,b104113f878c702817b062d8d91275b2d124bc14,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,x81k25/rear-differential
3267854313,34,x81k25,171736430,closed,2025-07-28T02:59:00Z,2025-07-28T02:59:08Z,2025-07-28T02:59:08Z,https://api.github.com/repos/x81k25/rear-differential,983824801.0,https://github.com/x81k25/rear-differential/pull/34,Claude_Code,f212f1c2cddb749d855a1da33cd85685d4eda9e2,11af2534448e20cf88f4045a7de5c649e9243f74,757,92,1,79,3,0,0,90,178,0,4,0,assert_used_LOW,86,request_without_timeout_MEDIUM,43,hardcoded_sql_expressions_MEDIUM,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-self-argument,4,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,x81k25/rear-differential
3267854786,35,x81k25,171736430,closed,2025-07-28T02:59:23Z,2025-07-28T03:02:37Z,2025-07-28T03:02:37Z,https://api.github.com/repos/x81k25/rear-differential,983824801.0,https://github.com/x81k25/rear-differential/pull/35,Claude_Code,fe7e199cbdd676135615a806fb369df5643890c6,e6ee56109fcf2c0b81900043666c41799cc22cb0,757,92,1,79,3,0,0,90,178,0,4,0,assert_used_LOW,86,request_without_timeout_MEDIUM,43,hardcoded_sql_expressions_MEDIUM,2,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,error_no-self-argument,4,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,x81k25/rear-differential
3205948914,26,x81k25,171736430,closed,2025-07-06T02:43:27Z,2025-07-06T02:48:01Z,2025-07-06T02:48:01Z,https://api.github.com/repos/x81k25/rear-differential,983824801.0,https://github.com/x81k25/rear-differential/pull/26,Claude_Code,ceb8b227581dddf21a1abe78bb39bc81beb2e1b7,ca62e4fb43d6ebc828ad39b674eac1097e59bcfd,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,x81k25/rear-differential
3206427174,27,x81k25,171736430,closed,2025-07-06T11:33:39Z,2025-07-06T11:33:45Z,2025-07-06T11:33:45Z,https://api.github.com/repos/x81k25/rear-differential,983824801.0,https://github.com/x81k25/rear-differential/pull/27,Claude_Code,ca62e4fb43d6ebc828ad39b674eac1097e59bcfd,3ca55dafeb2cf08a54ace85163065c4b634c45d5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,x81k25/rear-differential
3206427972,28,x81k25,171736430,closed,2025-07-06T11:34:54Z,2025-07-06T11:34:59Z,2025-07-06T11:34:59Z,https://api.github.com/repos/x81k25/rear-differential,983824801.0,https://github.com/x81k25/rear-differential/pull/28,Claude_Code,fe93aabe2d985b6256dd0771c5b2216a6f557898,2ab54478aec2a4e25d428c0a398f28eeed9c4498,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,Python,x81k25/rear-differential
